Exporter M.49,Exporter ISO3,Exporter,Exporter region,Year,Value (1000USD),Weight (1000kg)
332,HTI,Haiti,Latin America and the Caribbean,2005,37153.569,43741.479
334,HMD,Heard Island and McDonald Islands,,2005,25.211,28.484
336,VAT,Holy See,Europe,2005,85.253,78.858
340,HND,Honduras,Latin America and the Caribbean,2005,1281178.881,2059693.658
344,HKG,"China, Hong Kong SAR",China,2005,15660849.84,9517853.246
348,HUN,Hungary,Europe,2005,6886384.973,17137334.61
352,ISL,Iceland,Europe,2005,2596073.423,1566224.937
360,IDN,Indonesia,Eastern and South-Eastern Asia (excl. China),2005,54482978.59,258550609.8
364,IRN,Iran,Central and Southern Asia,2005,68192165.28,184554612.1
368,IRQ,Iraq,Northern Africa and Western Asia,2005,18429173.51,53415203.67
372,IRL,Ireland,Europe,2005,7656727.235,9608422.646
376,ISR,Israel,Northern Africa and Western Asia,2005,18311112.38,9490123.334
381,ITA,Italy,Europe,2005,49939059.4,70673129.63
384,CIV,Cote d'Ivoire,Sub-Saharan Africa,2005,6049691.986,8766393.683
388,JAM,Jamaica,Latin America and the Caribbean,2005,357542.831,4910864.683
392,JPN,Japan,Eastern and South-Eastern Asia (excl. China),2005,45085772.56,82746300.27
398,KAZ,Kazakhstan,Central and Southern Asia,2005,26896798.97,112572888.9
400,JOR,Jordan,Northern Africa and Western Asia,2005,1419504.359,8922513.252
404,KEN,Kenya,Sub-Saharan Africa,2005,2544192.105,3220306.829
408,PRK,"Korea, Democratic People’s Republic",Eastern and South-Eastern Asia (excl. China),2005,630240.301,5624680.089
410,KOR,"Korea, Republic",Eastern and South-Eastern Asia (excl. China),2005,38046953.55,62864824.38
414,KWT,Kuwait,Northern Africa and Western Asia,2005,36288507.74,99749518.19
417,KGZ,Kyrgyzstan,Central and Southern Asia,2005,511892.4792,1220645.369
418,LAO,Lao PDR,Eastern and South-Eastern Asia (excl. China),2005,228382.073,845988.933
422,LBN,Lebanon,Northern Africa and Western Asia,2005,949649.5297,3487289.001
426,LSO,Lesotho,Sub-Saharan Africa,2005,1331.168,1851.75
428,LVA,Latvia,Europe,2005,3295498.318,13635174.25
430,LBR,Liberia,Sub-Saharan Africa,2005,225086.885,547051.851
434,LBY,Libya,Northern Africa and Western Asia,2005,29915796.79,74030883.2
440,LTU,Lithuania,Europe,2005,5802922.073,17309082.9
442,LUX,Luxembourg,Europe,2005,4576942.992,7298676.035
446,MAC,"China, Macao SAR",China,2005,226742.7627,268632.1567
450,MDG,Madagascar,Sub-Saharan Africa,2005,397539.6274,373022.9933
454,MWI,Malawi,Sub-Saharan Africa,2005,603287.7165,476083.689
458,MYS,Malaysia,Eastern and South-Eastern Asia (excl. China),2005,37139414.07,88977965.44
462,MDV,Maldives,Central and Southern Asia,2005,142799.6927,249706.0293
466,MLI,Mali,Sub-Saharan Africa,2005,1063151.567,411622.8236
470,MLT,Malta,Europe,2005,317261.6934,560346.6259
478,MRT,Mauritania,Sub-Saharan Africa,2005,1070913.383,11736769.5
480,MUS,Mauritius,Sub-Saharan Africa,2005,576236.6545,1067219.281
484,MEX,Mexico,Latin America and the Caribbean,2005,47939612.69,140735164.2
490,,"Other Asia, nes",,2005,27062476.82,45604650.99
496,MNG,Mongolia,Eastern and South-Eastern Asia (excl. China),2005,781546.2407,5088458.907
498,MDA,Moldova,Europe,2005,647269.5779,2364506.982
500,MSR,Montserrat,Latin America and the Caribbean,2005,2126.728042,21853.44821
504,MAR,Morocco,Northern Africa and Western Asia,2005,5111269.346,25562158.75
508,MOZ,Mozambique,Sub-Saharan Africa,2005,2549575.061,3427312.449
512,OMN,Oman,Northern Africa and Western Asia,2005,19129909.67,47821980.08
516,NAM,Namibia,Sub-Saharan Africa,2005,1888813.753,1266453.973
520,NRU,Nauru,Oceania (excl. Australia and New Zealand),2005,1494.803,11434.179
524,NPL,Nepal,Central and Southern Asia,2005,114186.875,652186.759
527,,"Oceania, nes",,2005,1247.559,362.494
528,NLD,Netherlands,Europe,2005,99405388.27,199656594.5
530,ANT,Netherlands Antilles,,2005,2735014.831,5850983.524
533,ABW,Aruba,Latin America and the Caribbean,2005,3925790.512,8771191.873
540,NCL,New Caledonia,Oceania (excl. Australia and New Zealand),2005,1131161.858,5475639.364
548,VUT,Vanuatu,Oceania (excl. Australia and New Zealand),2005,168546.458,180404.993
554,NZL,New Zealand,Australia and New Zealand,2005,15268372.72,20016922.47
558,NIC,Nicaragua,Latin America and the Caribbean,2005,803004.0293,1093356.041
562,NER,Niger,Sub-Saharan Africa,2005,334859.432,448767.2064
566,NGA,Nigeria,Sub-Saharan Africa,2005,46496415.59,112470059.6
568,,"Other Europe, nes",,2005,1155421.865,2995147.792
570,NIU,Niue,Oceania (excl. Australia and New Zealand),2005,564.215,1717.949
574,NFK,Norfolk Islands,Australia and New Zealand,2005,783.473,751.336
