Importer M.49,Importer ISO3,Importer,Importer region,Year,Value (1000USD),Weight (1000kg)
4,AFG,Afghanistan,Central and Southern Asia,2000,128318.815,458866.945
8,ALB,Albania,Europe,2000,362430.1543,2487446.846
10,ATA,Antarctica,,2000,153.847,503.6
12,DZA,Algeria,Northern Africa and Western Asia,2000,3353730.82,15041873.56
16,ASM,American Samoa,Oceania (excl. Australia and New Zealand),2000,72058.182,226368.521
20,AND,Andorra,Europe,2000,166585.8099,1298233.497
24,AGO,Angola,Sub-Saharan Africa,2000,443021.396,1451195.857
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,2000,132982.6102,392060.5723
31,AZE,Azerbaijan,Northern Africa and Western Asia,2000,350075.3964,3017634.417
32,ARG,Argentina,Latin America and the Caribbean,2000,3023580.278,15713552.91
36,AUS,Australia,Australia and New Zealand,2000,11666265.63,42743443.93
40,AUT,Austria,Europe,2000,11672326.12,43872253.46
44,BHS,Bahamas,Latin America and the Caribbean,2000,749438.9356,3562823.027
48,BHR,Bahrain,Northern Africa and Western Asia,2000,390701.15,4926892.534
50,BGD,Bangladesh,Central and Southern Asia,2000,1895697.134,13037177.31
51,ARM,Armenia,Northern Africa and Western Asia,2000,467694.2949,2040682.856
52,BRB,Barbados,Latin America and the Caribbean,2000,277587.4998,763035.7292
56,BEL,Belgium,Europe,2000,45237296.65,169905314.5
60,BMU,Bermuda,Northern America,2000,1388355.09,7036035.793
64,BTN,Bhutan,Central and Southern Asia,2000,3065.401,34585.95
68,BOL,Bolivia,Latin America and the Caribbean,2000,370661.8853,1696327.681
70,BIH,Bosnia Herzegovina,Europe,2000,674661.488,3485727.909
72,BWA,Botswana,Sub-Saharan Africa,2000,460861.5705,2351524.906
74,BVT,Bouvet Island,,2000,,
76,BRA,Brazil,Latin America and the Caribbean,2000,16898918.68,90474556.62
84,BLZ,Belize,Latin America and the Caribbean,2000,166939.5977,574873.0155
86,IOT,British Indian Ocean Territory,,2000,16284.982,36485.534
90,SLB,Solomon Islands,Oceania (excl. Australia and New Zealand),2000,28727.892,101346.349
92,VGB,British Virgin Islands,Latin America and the Caribbean,2000,4387694.494,24603151.61
96,BRN,Brunei Darussalam,Eastern and South-Eastern Asia (excl. China),2000,173804.255,1015686.187
100,BGR,Bulgaria,Europe,2000,1398953.941,9556990.22
104,MMR,Myanmar,Eastern and South-Eastern Asia (excl. China),2000,700045.903,3198001.18
108,BDI,Burundi,Sub-Saharan Africa,2000,15332.448,81674.949
112,BLR,Belarus,Europe,2000,4350155.784,41384242.59
116,KHM,Cambodia,Eastern and South-Eastern Asia (excl. China),2000,512076.7968,2868078.098
120,CMR,Cameroon,Sub-Saharan Africa,2000,664423.7666,3233465.273
124,CAN,Canada,Northern America,2000,32918702.54,68782187.92
132,CPV,Cabo Verde,Sub-Saharan Africa,2000,99770.90582,447940.7232
136,CYM,Cayman Islands,Latin America and the Caribbean,2000,79625.972,497194.015
140,CAF,Central African Republic,Sub-Saharan Africa,2000,15255.406,55558.929
144,LKA,Sri Lanka,Central and Southern Asia,2000,2171788.729,9372293.031
148,TCD,Chad,Sub-Saharan Africa,2000,23025.209,206538.784
152,CHL,Chile,Latin America and the Caribbean,2000,4529415.411,25322417.51
156,CHN,China,China,2000,64930816.47,275849834.9
162,CXR,Christmas Islands,,2000,2566.478,7681.11
166,CCK,Cocos Islands,,2000,601.308,2013.3
170,COL,Colombia,Latin America and the Caribbean,2000,2521630.054,9936130.559
174,COM,Comoros,Sub-Saharan Africa,2000,21497.342,151382.129
