Importer M.49,Importer ISO3,Importer,Importer region,Year,Value (1000USD),Weight (1000kg)
203,CZE,Czech Republic,Europe,2012,33741667.88,46374171.68
204,BEN,Benin,Sub-Saharan Africa,2012,1996313.53,3958686.582
208,DNK,Denmark,Europe,2012,24880601.65,38450504.34
212,DMA,Dominica,Latin America and the Caribbean,2012,107815.4373,120292.1809
214,DOM,Dominican Republic,Latin America and the Caribbean,2012,7802369.221,10211926.71
218,ECU,Ecuador,Latin America and the Caribbean,2012,9463416.145,12256591.42
222,SLV,El Salvador,Latin America and the Caribbean,2012,3481131.833,4575403.232
226,GNQ,Equatorial Guinea,Sub-Saharan Africa,2012,534767.568,1200891.57
231,ETH,Ethiopia,Sub-Saharan Africa,2012,5043626.011,7079876.88
232,ERI,Eritrea,Sub-Saharan Africa,2012,132156.073,207172.24
233,EST,Estonia,Europe,2012,7727429.122,11126429.75
234,FRO,Faeroe Islands,Europe,2012,301320.171,393221.014
238,FLK,Falkland Islands (Malvinas),Latin America and the Caribbean,2012,34978.036,38765.956
239,SGS,South Georgia and the South Sandwich Islands,,2012,178.195,25.866
242,FJI,Fiji,Oceania (excl. Australia and New Zealand),2012,1244435.808,1275838.9
246,FIN,Finland,Europe,2012,24743110.81,42847982.12
251,FRA,France,Europe,2012,194067160.1,264498685.4
258,PYF,French Polynesia,Oceania (excl. Australia and New Zealand),2012,677018.2972,664076.8202
260,ATF,French Southern Territories,,2012,6472.615,5814.077
262,DJI,Djibouti,Sub-Saharan Africa,2012,1259289.395,2688872.452
266,GAB,Gabon,Sub-Saharan Africa,2012,631269.778,1259986.218
268,GEO,Georgia,Northern Africa and Western Asia,2012,3234758.32,6154279.419
270,GMB,Gambia,Sub-Saharan Africa,2012,347584.4597,940164.95
275,PSE,State of Palestine,Northern Africa and Western Asia,2012,2107498.974,3764099.716
276,DEU,Germany,Europe,2012,337483107.3,452275793.5
288,GHA,Ghana,Sub-Saharan Africa,2012,5127820.005,10529431.45
