Importer M.49,Importer ISO3,Importer,Importer region,Year,Value (1000USD),Weight (1000kg)
4,AFG,Afghanistan,Central and Southern Asia,2015,5559005.178,14794613.67
8,ALB,Albania,Europe,2015,1301686.878,2840337.985
10,ATA,Antarctica,,2015,5552.123,5738.208
12,DZA,Algeria,Northern Africa and Western Asia,2015,15742384.08,40567390.19
16,ASM,American Samoa,Oceania (excl. Australia and New Zealand),2015,87831.882,121952.782
20,AND,Andorra,Europe,2015,220748.9188,575040.3781
24,AGO,Angola,Sub-Saharan Africa,2015,4337750.66,9883238.723
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,2015,607307.0779,1102383.329
31,AZE,Azerbaijan,Northern Africa and Western Asia,2015,2054633.796,5414530.746
32,ARG,Argentina,Latin America and the Caribbean,2015,10646904.94,28607753.4
36,AUS,Australia,Australia and New Zealand,2015,38564029.14,65788730.8
40,AUT,Austria,Europe,2015,33567380.91,71890086.31
44,BHS,Bahamas,Latin America and the Caribbean,2015,2541682.216,9465744.746
48,BHR,Bahrain,Northern Africa and Western Asia,2015,7276539.832,26844924.43
50,BGD,Bangladesh,Central and Southern Asia,2015,21712835.48,67763437.01
51,ARM,Armenia,Northern Africa and Western Asia,2015,1354850.695,3025229.511
52,BRB,Barbados,Latin America and the Caribbean,2015,556785.2098,1053300.771
56,BEL,Belgium,Europe,2015,107984984.1,192326929.5
60,BMU,Bermuda,Northern America,2015,205353.6321,366449.2824
64,BTN,Bhutan,Central and Southern Asia,2015,150285.122,470454.103
68,BOL,Bolivia,Latin America and the Caribbean,2015,1665823.372,2743438.676
70,BIH,Bosnia Herzegovina,Europe,2015,2790075.903,6123015.397
72,BWA,Botswana,Sub-Saharan Africa,2015,4754105.83,3302441.822
76,BRA,Brazil,Latin America and the Caribbean,2015,45801019.33,121455405.9
84,BLZ,Belize,Latin America and the Caribbean,2015,314387.8398,1112644.741
86,IOT,British Indian Ocean Territory,,2015,6072.823,7368.977
90,SLB,Solomon Islands,Oceania (excl. Australia and New Zealand),2015,156131.2935,211071.9924
92,VGB,British Virgin Islands,Latin America and the Caribbean,2015,123262.066,662961.456
96,BRN,Brunei Darussalam,Eastern and South-Eastern Asia (excl. China),2015,640261.3411,2632508.893
100,BGR,Bulgaria,Europe,2015,10738646.1,20269027.74
104,MMR,Myanmar,Eastern and South-Eastern Asia (excl. China),2015,5970254.343,14452655.52
108,BDI,Burundi,Sub-Saharan Africa,2015,219124.3184,415441.6541
112,BLR,Belarus,Europe,2015,14403594.58,51481518.8
116,KHM,Cambodia,Eastern and South-Eastern Asia (excl. China),2015,3671379.159,9122488.586
120,CMR,Cameroon,Sub-Saharan Africa,2015,2434216.879,7003490.701
124,CAN,Canada,Northern America,2015,77971705.01,130450739.7
132,CPV,Cabo Verde,Sub-Saharan Africa,2015,282985.4908,754027.3808
136,CYM,Cayman Islands,Latin America and the Caribbean,2015,282924.845,494479.648
140,CAF,Central African Republic,Sub-Saharan Africa,2015,79357.48352,117015.3944
144,LKA,Sri Lanka,Central and Southern Asia,2015,7168253.336,19819527.75
148,TCD,Chad,Sub-Saharan Africa,2015,143676.399,235892.537
152,CHL,Chile,Latin America and the Caribbean,2015,15003124.24,40283252.48
156,CHN,China,China,2015,591645710,2181708088
162,CXR,Christmas Islands,,2015,7102.889,15898.667
166,CCK,Cocos Islands,,2015,373.481,304.111
170,COL,Colombia,Latin America and the Caribbean,2015,13505662.16,30782619.23
174,COM,Comoros,Sub-Saharan Africa,2015,131237.0401,433566.786
178,COG,"Congo, Republic",Sub-Saharan Africa,2015,1348991.447,2507473.744
180,COD,"Congo, Democratic Republic",Sub-Saharan Africa,2015,1461267.784,3147837.39
184,COK,Cook Islands,Oceania (excl. Australia and New Zealand),2015,41690.03,51217.096
188,CRI,Costa Rica,Latin America and the Caribbean,2015,3557736.289,6931683.127
191,HRV,Croatia,Europe,2015,6559124.309,16121787.74
192,CUB,Cuba,Latin America and the Caribbean,2015,1910458.263,3788250.321
196,CYP,Cyprus,Northern Africa and Western Asia,2015,2379000.923,4812822.495
203,CZE,Czech Republic,Europe,2015,25514889.27,51969814.6
204,BEN,Benin,Sub-Saharan Africa,2015,1830952.29,4410511.042
208,DNK,Denmark,Europe,2015,19346405.02,37514894.27
212,DMA,Dominica,Latin America and the Caribbean,2015,51066.382,62724.296
