Importer M.49,Importer ISO3,Importer,Importer region,Year,Value (1000USD),Weight (1000kg)
214,DOM,Dominican Republic,Latin America and the Caribbean,2015,5806026.831,10230323.91
218,ECU,Ecuador,Latin America and the Caribbean,2015,7140545.03,13842725.81
222,SLV,El Salvador,Latin America and the Caribbean,2015,3052337.851,6121529.608
226,GNQ,Equatorial Guinea,Sub-Saharan Africa,2015,298805.277,1051586.028
231,ETH,Ethiopia,Sub-Saharan Africa,2015,4954983.92,8921039.345
232,ERI,Eritrea,Sub-Saharan Africa,2015,72188.529,168672.659
233,EST,Estonia,Europe,2015,4849751.281,10847257.42
234,FRO,Faeroe Islands,Europe,2015,222386.439,488139.715
238,FLK,Falkland Islands (Malvinas),Latin America and the Caribbean,2015,47747.915,189410.264
239,SGS,South Georgia and the South Sandwich Islands,,2015,15.205,23.675
242,FJI,Fiji,Oceania (excl. Australia and New Zealand),2015,926515.1115,1496419.196
246,FIN,Finland,Europe,2015,17244526.46,48927148.83
251,FRA,France,Europe,2015,130118797.1,256513303.9
258,PYF,French Polynesia,Oceania (excl. Australia and New Zealand),2015,433632.4192,572434.6321
260,ATF,French Southern Territories,,2015,8325.441,7896.033
262,DJI,Djibouti,Sub-Saharan Africa,2015,1324074.97,3664513.057
266,GAB,Gabon,Sub-Saharan Africa,2015,559312.207,1413009.993
268,GEO,Georgia,Northern Africa and Western Asia,2015,2647591.873,7056352.745
270,GMB,Gambia,Sub-Saharan Africa,2015,358628.1668,3282495.16
275,PSE,State of Palestine,Northern Africa and Western Asia,2015,1871126.942,3822064.826
276,DEU,Germany,Europe,2015,247338854.5,495298808.1
288,GHA,Ghana,Sub-Saharan Africa,2015,4519641.808,12357272.25
292,GIB,Gibraltar,Europe,2015,7648379.313,18672270.56
296,KIR,Kiribati,Oceania (excl. Australia and New Zealand),2015,57456.44408,124393.9924
300,GRC,Greece,Europe,2015,19645288.47,44183869.25
304,GRL,Greenland,Northern America,2015,209121.9911,255210.4688
308,GRD,Grenada,Latin America and the Caribbean,2015,70549.387,204783.015
316,GUM,Guam,Oceania (excl. Australia and New Zealand),2015,412341.386,843847.701
320,GTM,Guatemala,Latin America and the Caribbean,2015,5297607.357,12172449.26
324,GIN,Guinea,Sub-Saharan Africa,2015,1037513.693,3793042.864
328,GUY,Guyana,Latin America and the Caribbean,2015,620276.6231,1486805.647
332,HTI,Haiti,Latin America and the Caribbean,2015,1143611.265,3186969.968
334,HMD,Heard Island and McDonald Islands,,2015,441.722,47.938
336,VAT,Holy See,Europe,2015,21939.758,13535.014
340,HND,Honduras,Latin America and the Caribbean,2015,3398838.196,6382142.531
344,HKG,"China, Hong Kong SAR",China,2015,102152937.9,855530281
348,HUN,Hungary,Europe,2015,15146628.69,31645288.47
352,ISL,Iceland,Europe,2015,1261535.653,2733540.766
360,IDN,Indonesia,Eastern and South-Eastern Asia (excl. China),2015,54604108.65,123324206.4
364,IRN,Iran,Central and Southern Asia,2015,16618568.51,36273477.41
368,IRQ,Iraq,Northern Africa and Western Asia,2015,9663426.747,24096082.58
372,IRL,Ireland,Europe,2015,13481838.18,33377294.91
376,ISR,Israel,Northern Africa and Western Asia,2015,23873514.35,128256129.5
381,ITA,Italy,Europe,2015,143536827.8,274194436.2
384,CIV,Cote d'Ivoire,Sub-Saharan Africa,2015,3993141.233,11519324.07
388,JAM,Jamaica,Latin America and the Caribbean,2015,1856557.657,4288694.263
392,JPN,Japan,Eastern and South-Eastern Asia (excl. China),2015,218717766.5,640202956
398,KAZ,Kazakhstan,Central and Southern Asia,2015,5904447.039,21255628.21
400,JOR,Jordan,Northern Africa and Western Asia,2015,8917059.48,16648638.22
404,KEN,Kenya,Sub-Saharan Africa,2015,5949932.149,16575199.47
408,PRK,"Korea, Democratic People’s Republic",Eastern and South-Eastern Asia (excl. China),2015,951379.813,2585226.672
410,KOR,"Korea, Republic",Eastern and South-Eastern Asia (excl. China),2015,176552407.6,538306087
414,KWT,Kuwait,Northern Africa and Western Asia,2015,7349029.775,36327666.02
417,KGZ,Kyrgyzstan,Central and Southern Asia,2015,1504038.771,5704696.611
418,LAO,Lao PDR,Eastern and South-Eastern Asia (excl. China),2015,1904415.321,3955104.921
422,LBN,Lebanon,Northern Africa and Western Asia,2015,7900778.57,15105251.24
426,LSO,Lesotho,Sub-Saharan Africa,2015,451627.7755,913798.7624
428,LVA,Latvia,Europe,2015,7792116.001,21206024.14
430,LBR,Liberia,Sub-Saharan Africa,2015,823673.359,2560326.997
434,LBY,Libya,Northern Africa and Western Asia,2015,3864843.249,9542813.809
440,LTU,Lithuania,Europe,2015,9047493.181,21384745.1
442,LUX,Luxembourg,Europe,2015,5759515.007,16370901.45
446,MAC,"China, Macao SAR",China,2015,1463146.633,103997966.6
450,MDG,Madagascar,Sub-Saharan Africa,2015,1123511.199,4553108.247
454,MWI,Malawi,Sub-Saharan Africa,2015,773926.4428,1479830.005
458,MYS,Malaysia,Eastern and South-Eastern Asia (excl. China),2015,57655735.69,150569467.3
462,MDV,Maldives,Central and Southern Asia,2015,740366.5619,2743770.344
466,MLI,Mali,Sub-Saharan Africa,2015,780625.833,3352107.137
470,MLT,Malta,Europe,2015,5025097.798,12594792.57
473,,"Latin American Integration Association, nes",,2015,1375343.394,3628961.799
478,MRT,Mauritania,Sub-Saharan Africa,2015,1558386.404,3475496.124
480,MUS,Mauritius,Sub-Saharan Africa,2015,1960840.775,4437813.171
484,MEX,Mexico,Latin America and the Caribbean,2015,67129967.65,118117153.4
490,,"Other Asia, nes",,2015,131885774,399061896.3
496,MNG,Mongolia,Eastern and South-Eastern Asia (excl. China),2015,1224137.145,3054865.883
498,MDA,Moldova,Europe,2015,1258701.386,2990787.814
499,MNE,Montenegro,Europe,2015,664713.3964,1362243.238
500,MSR,Montserrat,Latin America and the Caribbean,2015,4204.016,8180.679
504,MAR,Morocco,Northern Africa and Western Asia,2015,13629686.14,45335116.61
508,MOZ,Mozambique,Sub-Saharan Africa,2015,3451417.334,10120766.24
512,OMN,Oman,Northern Africa and Western Asia,2015,10146480.51,28014336.18
516,NAM,Namibia,Sub-Saharan Africa,2015,2655405.765,2700500.916
520,NRU,Nauru,Oceania (excl. Australia and New Zealand),2015,35131.029,35817.578
524,NPL,Nepal,Central and Southern Asia,2015,2821461.004,7109034.645
527,,"Oceania, nes",,2015,364959.904,1109249.508
528,NLD,Netherlands,Europe,2015,161832013.2,404371323
531,CUW,Curacao,Latin America and the Caribbean,2015,1179099.336,3310270.115
533,ABW,Aruba,Latin America and the Caribbean,2015,1666892.486,5230716.543
534,SXM,Sint Maarten (Dutch part),Latin America and the Caribbean,2015,97825.947,158949.834
535,BES,Bonaire,Latin America and the Caribbean,2015,47219.279,165417.061
540,NCL,New Caledonia,Oceania (excl. Australia and New Zealand),2015,897921.3802,3351654.754
548,VUT,Vanuatu,Oceania (excl. Australia and New Zealand),2015,78745.277,162827.451
554,NZL,New Zealand,Australia and New Zealand,2015,7909993.349,15886744.78
558,NIC,Nicaragua,Latin America and the Caribbean,2015,1679063.326,3693667.094
562,NER,Niger,Sub-Saharan Africa,2015,626622.4517,1766527.046
566,NGA,Nigeria,Sub-Saharan Africa,2015,14031593.17,25224134.75
568,,"Other Europe, nes",,2015,21827320.81,56570332.86
570,NIU,Niue,Oceania (excl. Australia and New Zealand),2015,4199.861,4911.288
574,NFK,Norfolk Islands,Australia and New Zealand,2015,8071.5,9894.433
577,,"Other Africa, nes",,2015,3287128.521,8614858.519
579,NOR,Norway,Europe,2015,13288760.61,22104164.75
580,MNP,Northern Mariana Islands,Oceania (excl. Australia and New Zealand),2015,71808.132,129867.918
581,UMI,United States Minor Outlying Islands,,2015,28372.646,87389.464
583,FSM,Micronesia,Oceania (excl. Australia and New Zealand),2015,79023.144,139696.227
584,MHL,Marshall Islands,Oceania (excl. Australia and New Zealand),2015,426799.081,1292941.216
585,PLW,Palau,Oceania (excl. Australia and New Zealand),2015,54188.59003,63956.07225
586,PAK,Pakistan,Central and Southern Asia,2015,20489488.05,43763886.73
591,PAN,Panama,Latin America and the Caribbean,2015,8908073.886,24375012.21
598,PNG,Papua New Guinea,Oceania (excl. Australia and New Zealand),2015,1258626.021,2616939.572
600,PRY,Paraguay,Latin America and the Caribbean,2015,2238867.129,4174612
604,PER,Peru,Latin America and the Caribbean,2015,10234334.05,24043990.08
608,PHL,Philippines,Eastern and South-Eastern Asia (excl. China),2015,23657681.61,74568417.02
612,PCN,Pitcairn,Oceania (excl. Australia and New Zealand),2015,368.703,445.373
616,POL,Poland,Europe,2015,45401879.37,102481377.2
620,PRT,Portugal,Europe,2015,23262861.85,47993883.97
624,GNB,Guinea-Bissau,Sub-Saharan Africa,2015,121429.271,348315.605
626,TLS,Timor-Leste,Eastern and South-Eastern Asia (excl. China),2015,158563.101,463988.356
634,QAT,Qatar,Northern Africa and Western Asia,2015,6296183.455,43260203.21
637,,"North America and Central America, nes",,2015,21265722.02,59560457.93
642,ROU,Romania,Europe,2015,15404113.32,35194996.86
643,RUS,Russian Federation,Europe,2015,31499469.12,100764593.6
646,RWA,Rwanda,Sub-Saharan Africa,2015,699378.5547,1507688.566
652,BLM,Saint-Barthelemy,Latin America and the Caribbean,2015,17796.401,40329.187
654,SHN,Saint Helena,Sub-Saharan Africa,2015,19096.907,39644.579
659,KNA,Saint Kitts and Nevis,Latin America and the Caribbean,2015,69117.81949,150182.8525
660,AIA,Anguilla,Latin America and the Caribbean,2015,16205.875,32596.173
662,LCA,Saint Lucia,Latin America and the Caribbean,2015,1283146.13,3853554.109
666,SPM,Saint Pierre and Miquelon,Northern America,2015,6958.53,10217.285
670,VCT,Saint Vincent and the Grenadines,Latin America and the Caribbean,2015,127363.4672,286351.4497
674,SMR,San Marino,Europe,2015,81458.425,88907.699
678,STP,Sao Tome and Principe,Sub-Saharan Africa,2015,57098.23298,119780.3528
682,SAU,Saudi Arabia,Northern Africa and Western Asia,2015,42344836.52,68219224.69
686,SEN,Senegal,Sub-Saharan Africa,2015,3351163.901,9350494.138
688,SRB,Serbia,Europe,2015,5279489.272,13004452.76
690,SYC,Seychelles,Sub-Saharan Africa,2015,487415.2073,709448.3266
694,SLE,Sierra Leone,Sub-Saharan Africa,2015,332029.5018,1037890.737
699,IND,India,Central and Southern Asia,2015,221524341.5,627436147.8
702,SGP,Singapore,Eastern and South-Eastern Asia (excl. China),2015,90850423.72,247097620.4
703,SVK,Slovakia,Europe,2015,14805914.57,35195439.39
704,VNM,Vietnam,Eastern and South-Eastern Asia (excl. China),2015,51823464.34,83205621.02
705,SVN,Slovenia,Europe,2015,8152325.381,17973065.35
706,SOM,Somalia,Sub-Saharan Africa,2015,880010.089,1926595.72
710,ZAF,South Africa,Sub-Saharan Africa,2015,24589144.8,52470896.78
716,ZWE,Zimbabwe,Sub-Saharan Africa,2015,2800979.898,3641421.522
724,ESP,Spain,Europe,2015,89138058.91,212281812.7
728,SSD,South Sudan,Sub-Saharan Africa,2015,276715.728,649539.412
729,SDN,Sudan,Northern Africa and Western Asia,2015,2821637.461,5536017.952
732,ESH,Western Sahara,Northern Africa and Western Asia,2015,308.738,53.85
740,SUR,Suriname,Latin America and the Caribbean,2015,467187.1786,836114.9923
748,SWZ,Eswatini,Sub-Saharan Africa,2015,531712.026,1428426.678
752,SWE,Sweden,Europe,2015,30315465.95,57024818.24
757,CHE,Switzerland,Europe,2015,90390573.36,45486085.34
760,SYR,Syria,Northern Africa and Western Asia,2015,1763363.478,5021290.136
762,TJK,Tajikistan,Central and Southern Asia,2015,1147137.741,3185161.835
764,THA,Thailand,Eastern and South-Eastern Asia (excl. China),2015,61132176.32,114038809.2
768,TGO,Togo,Sub-Saharan Africa,2015,4187023.693,9709191.848
772,TKL,Tokelau,Oceania (excl. Australia and New Zealand),2015,1376.299,1188.506
776,TON,Tonga,Oceania (excl. Australia and New Zealand),2015,66308.484,76531.902
780,TTO,Trinidad and Tobago,Latin America and the Caribbean,2015,4012054.66,12692908.72
784,ARE,United Arab Emirates,Northern Africa and Western Asia,2015,64207291.88,67617269.04
788,TUN,Tunisia,Northern Africa and Western Asia,2015,7780107.577,16151922.41
792,TUR,Turkey,Northern Africa and Western Asia,2015,61892942.51,161880816.1
795,TKM,Turkmenistan,Central and Southern Asia,2015,1040792.852,2837974.447
796,TCA,Turks and Caicos Islands,Latin America and the Caribbean,2015,67250.47,150187.041
798,TUV,Tuvalu,Oceania (excl. Australia and New Zealand),2015,11465.72,38946.565
800,UGA,Uganda,Sub-Saharan Africa,2015,1687496.679,4442221.263
804,UKR,Ukraine,Europe,2015,16648145.82,60873938.07
807,MKD,North Macedonia,Europe,2015,2552596.29,5260189.12
818,EGY,Egypt,Northern Africa and Western Asia,2015,35812250.35,82137830.42
826,GBR,United Kingdom,Europe,2015,126225284.3,235137325.3
834,TZA,Tanzania,Sub-Saharan Africa,2015,9112516.427,7731444.452
837,,Bunkers,,2015,10774804.3,21915479.8
838,,Free Zones,,2015,3845719.093,15232248.4
839,,Special Categories,,2015,11737246.91,32288284.49
842,USA,United States,Northern America,2015,407472695.9,752059136
854,BFA,Burkina Faso,Sub-Saharan Africa,2015,1281390.327,3594733.551
858,URY,Uruguay,Latin America and the Caribbean,2015,3139691.809,7310691.595
860,UZB,Uzbekistan,Central and Southern Asia,2015,2782496.315,9055384.052
862,VEN,Venezuela,Latin America and the Caribbean,2015,8732809.886,15320351
876,WLF,Wallis and Futuna Islands,Oceania (excl. Australia and New Zealand),2015,10720.577,13405.107
882,WSM,Samoa,Oceania (excl. Australia and New Zealand),2015,166525.1852,210772.2036
887,YEM,Yemen,Northern Africa and Western Asia,2015,4726770.003,12037892.64
894,ZMB,Zambia,Sub-Saharan Africa,2015,2828428.914,3420719.532
899,,"Areas, nes",,2015,261460430.3,572230407.3
4,AFG,Afghanistan,Central and Southern Asia,2016,4540455.753,15505867.24
8,ALB,Albania,Europe,2016,1229145.066,2846184.922
10,ATA,Antarctica,,2016,18284.9,24694.704
12,DZA,Algeria,Northern Africa and Western Asia,2016,13250513.18,37182021.8
16,ASM,American Samoa,Oceania (excl. Australia and New Zealand),2016,136647.492,232053.062
20,AND,Andorra,Europe,2016,209656.6861,521282.6797
24,AGO,Angola,Sub-Saharan Africa,2016,3493276.525,11672668.45
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,2016,284311.7918,538957.0075
31,AZE,Azerbaijan,Northern Africa and Western Asia,2016,2073582.55,5976682.807
32,ARG,Argentina,Latin America and the Caribbean,2016,8720540.018,28872071.41
36,AUS,Australia,Australia and New Zealand,2016,35285094.96,66425894.99
40,AUT,Austria,Europe,2016,30401128.94,74926795.87
44,BHS,Bahamas,Latin America and the Caribbean,2016,1997684.212,6080316.148
48,BHR,Bahrain,Northern Africa and Western Asia,2016,5890070.435,25844039.71
50,BGD,Bangladesh,Central and Southern Asia,2016,14598249.08,61944212.94
51,ARM,Armenia,Northern Africa and Western Asia,2016,1353927.21,3441869.994
52,BRB,Barbados,Latin America and the Caribbean,2016,471513.4109,1043760.452
56,BEL,Belgium,Europe,2016,104641658.4,217832933.6
60,BMU,Bermuda,Northern America,2016,198735.2828,401663.7653
64,BTN,Bhutan,Central and Southern Asia,2016,134910.47,285642.239
68,BOL,Bolivia,Latin America and the Caribbean,2016,2747483.355,5777824.801
70,BIH,Bosnia Herzegovina,Europe,2016,2792412.113,6791446.462
72,BWA,Botswana,Sub-Saharan Africa,2016,3094373.17,3130547.439
76,BRA,Brazil,Latin America and the Caribbean,2016,37345577.83,123590421.3
84,BLZ,Belize,Latin America and the Caribbean,2016,271510.3856,1685997.473
86,IOT,British Indian Ocean Territory,,2016,19539.141,41522.469
90,SLB,Solomon Islands,Oceania (excl. Australia and New Zealand),2016,175007.4002,294347.656
92,VGB,British Virgin Islands,Latin America and the Caribbean,2016,86250.65,778855.795
96,BRN,Brunei Darussalam,Eastern and South-Eastern Asia (excl. China),2016,658411.6295,2673414.934
100,BGR,Bulgaria,Europe,2016,10011686.67,22457040.13
104,MMR,Myanmar,Eastern and South-Eastern Asia (excl. China),2016,6439784.125,15954427.56
108,BDI,Burundi,Sub-Saharan Africa,2016,251903.2329,589575.9955
112,BLR,Belarus,Europe,2016,12302544.83,48357201.51
116,KHM,Cambodia,Eastern and South-Eastern Asia (excl. China),2016,3648779.706,9519085.805
120,CMR,Cameroon,Sub-Saharan Africa,2016,1931748.042,6384876.741
124,CAN,Canada,Northern America,2016,72661195.91,133313502.5
132,CPV,Cabo Verde,Sub-Saharan Africa,2016,396226.93,1093051.772
136,CYM,Cayman Islands,Latin America and the Caribbean,2016,331360.223,698778.982
140,CAF,Central African Republic,Sub-Saharan Africa,2016,80250.48474,150218.0035
144,LKA,Sri Lanka,Central and Southern Asia,2016,6674794.285,19012953.59
148,TCD,Chad,Sub-Saharan Africa,2016,124104.736,255131.836
152,CHL,Chile,Latin America and the Caribbean,2016,13858624.83,44024247.34
156,CHN,China,China,2016,550820025.2,2387227613
162,CXR,Christmas Islands,,2016,10811.017,19037.554
166,CCK,Cocos Islands,,2016,512.283,594.482
170,COL,Colombia,Latin America and the Caribbean,2016,12096901.7,33524934.02
174,COM,Comoros,Sub-Saharan Africa,2016,127502.5832,416598.7988
178,COG,"Congo, Republic",Sub-Saharan Africa,2016,621097.367,1700493.133
180,COD,"Congo, Democratic Republic",Sub-Saharan Africa,2016,1279499.731,3395520.168
184,COK,Cook Islands,Oceania (excl. Australia and New Zealand),2016,34896.117,47866.209
188,CRI,Costa Rica,Latin America and the Caribbean,2016,3341888.46,7312489.36
191,HRV,Croatia,Europe,2016,5948372.462,17100811.42
192,CUB,Cuba,Latin America and the Caribbean,2016,1706398.49,4011723.677
196,CYP,Cyprus,Northern Africa and Western Asia,2016,2196080.546,5725157.846
203,CZE,Czech Republic,Europe,2016,23036087.38,50132968.21
204,BEN,Benin,Sub-Saharan Africa,2016,2204972.739,5487586.407
208,DNK,Denmark,Europe,2016,17350789.21,36910112.41
212,DMA,Dominica,Latin America and the Caribbean,2016,34529.033,42066.952
214,DOM,Dominican Republic,Latin America and the Caribbean,2016,5491514.877,11988600.83
218,ECU,Ecuador,Latin America and the Caribbean,2016,5472892.148,13470777.49
222,SLV,El Salvador,Latin America and the Caribbean,2016,2753105.732,6705401.855
226,GNQ,Equatorial Guinea,Sub-Saharan Africa,2016,173524.725,521750.033
231,ETH,Ethiopia,Sub-Saharan Africa,2016,5161735.966,11791838.58
232,ERI,Eritrea,Sub-Saharan Africa,2016,119170.686,322949.231
233,EST,Estonia,Europe,2016,4351821.068,11380483.86
234,FRO,Faeroe Islands,Europe,2016,155826.756,412055.257
238,FLK,Falkland Islands (Malvinas),Latin America and the Caribbean,2016,22575.982,43463.269
239,SGS,South Georgia and the South Sandwich Islands,,2016,5.058,0.09
242,FJI,Fiji,Oceania (excl. Australia and New Zealand),2016,844765.7297,1559388.263
246,FIN,Finland,Europe,2016,16043126.46,49851537.09
251,FRA,France,Europe,2016,116217790.3,261355783.2
258,PYF,French Polynesia,Oceania (excl. Australia and New Zealand),2016,324387.394,525432.495
260,ATF,French Southern Territories,,2016,6258.013,5856.229
262,DJI,Djibouti,Sub-Saharan Africa,2016,1293075.197,3715289.178
266,GAB,Gabon,Sub-Saharan Africa,2016,433312.811,1217708.211
268,GEO,Georgia,Northern Africa and Western Asia,2016,2431911.739,6850794.785
270,GMB,Gambia,Sub-Saharan Africa,2016,316789.5649,1415588.662
275,PSE,State of Palestine,Northern Africa and Western Asia,2016,1875472.565,5120747.886
276,DEU,Germany,Europe,2016,218019219.5,490713169.8
288,GHA,Ghana,Sub-Saharan Africa,2016,3938083.432,12739230.16
292,GIB,Gibraltar,Europe,2016,6924182.805,20912869.06
296,KIR,Kiribati,Oceania (excl. Australia and New Zealand),2016,62069.95578,101698.5993
300,GRC,Greece,Europe,2016,18950932,47535831.56
304,GRL,Greenland,Northern America,2016,187579.2953,295416.7698
308,GRD,Grenada,Latin America and the Caribbean,2016,50586.715,144998.408
316,GUM,Guam,Oceania (excl. Australia and New Zealand),2016,369931.636,982802.571
320,GTM,Guatemala,Latin America and the Caribbean,2016,4982468.661,14160147.28
324,GIN,Guinea,Sub-Saharan Africa,2016,1485431.653,4686815.025
328,GUY,Guyana,Latin America and the Caribbean,2016,584839.3471,2343207.309
332,HTI,Haiti,Latin America and the Caribbean,2016,1124882.644,3343130.559
334,HMD,Heard Island and McDonald Islands,,2016,59.051,17.483
336,VAT,Holy See,Europe,2016,8623.147,12487.989
340,HND,Honduras,Latin America and the Caribbean,2016,2914079.428,6514208.517
344,HKG,"China, Hong Kong SAR",China,2016,88279000.1,692714827.3
348,HUN,Hungary,Europe,2016,13777790.87,31480201.25
352,ISL,Iceland,Europe,2016,1159336.422,2867244.704
360,IDN,Indonesia,Eastern and South-Eastern Asia (excl. China),2016,50287221.77,128953721.8
364,IRN,Iran,Central and Southern Asia,2016,15510019.77,30905870.3
368,IRQ,Iraq,Northern Africa and Western Asia,2016,10610246.28,23663011.4
372,IRL,Ireland,Europe,2016,11396023.93,32020458.51
376,ISR,Israel,Northern Africa and Western Asia,2016,24127811.7,54252115.28
381,ITA,Italy,Europe,2016,131641125.3,289972272.4
384,CIV,Cote d'Ivoire,Sub-Saharan Africa,2016,3795298.801,11705831.57
388,JAM,Jamaica,Latin America and the Caribbean,2016,1629745.7,4190889.871
392,JPN,Japan,Eastern and South-Eastern Asia (excl. China),2016,204736296.8,736307950.5
398,KAZ,Kazakhstan,Central and Southern Asia,2016,5721432.318,20701090.45
400,JOR,Jordan,Northern Africa and Western Asia,2016,7618152.086,18225645.17
404,KEN,Kenya,Sub-Saharan Africa,2016,5135945.546,15800067.98
408,PRK,"Korea, Democratic People’s Republic",Eastern and South-Eastern Asia (excl. China),2016,774026.935,2931355.303
410,KOR,"Korea, Republic",Eastern and South-Eastern Asia (excl. China),2016,152013006.1,546017671
414,KWT,Kuwait,Northern Africa and Western Asia,2016,6335852.669,39304976.9
417,KGZ,Kyrgyzstan,Central and Southern Asia,2016,1111127.079,4872158.233
418,LAO,Lao PDR,Eastern and South-Eastern Asia (excl. China),2016,1568945.998,4043038.381
422,LBN,Lebanon,Northern Africa and Western Asia,2016,7774125.189,16057770.18
426,LSO,Lesotho,Sub-Saharan Africa,2016,474976.1948,1074430.277
428,LVA,Latvia,Europe,2016,6430669.894,20741176.96
430,LBR,Liberia,Sub-Saharan Africa,2016,631215.588,2503174.811
434,LBY,Libya,Northern Africa and Western Asia,2016,3731940.1,10085461.62
440,LTU,Lithuania,Europe,2016,7857636.763,21639927.17
442,LUX,Luxembourg,Europe,2016,5569238.496,16941925.07
446,MAC,"China, Macao SAR",China,2016,1510364.054,101667764.2
450,MDG,Madagascar,Sub-Saharan Africa,2016,1055441.031,4608511.74
454,MWI,Malawi,Sub-Saharan Africa,2016,752522.4509,1600662.16
458,MYS,Malaysia,Eastern and South-Eastern Asia (excl. China),2016,50091497.03,158853438.1
462,MDV,Maldives,Central and Southern Asia,2016,724101.5792,19788248.52
466,MLI,Mali,Sub-Saharan Africa,2016,1749846.473,16059973.91
470,MLT,Malta,Europe,2016,4200886.988,13834496.16
473,,"Latin American Integration Association, nes",,2016,1198604.316,3979140.04
478,MRT,Mauritania,Sub-Saharan Africa,2016,1092902.209,3765584.257
480,MUS,Mauritius,Sub-Saharan Africa,2016,1856647.056,4832171.6
484,MEX,Mexico,Latin America and the Caribbean,2016,64592859.61,135060657.2
