Importer M.49,Importer ISO3,Importer,Importer region,Year,Value (1000USD),Weight (1000kg)
4,AFG,Afghanistan,Central and Southern Asia,2005,1137442.506,4902733.563
8,ALB,Albania,Europe,2005,933835.0115,3708900.804
10,ATA,Antarctica,,2005,12258.634,22637.366
12,DZA,Algeria,Northern Africa and Western Asia,2005,6055290.29,19626900.32
16,ASM,American Samoa,Oceania (excl. Australia and New Zealand),2005,55968.433,55189.139
20,AND,Andorra,Europe,2005,295027.131,1239276.124
24,AGO,Angola,Sub-Saharan Africa,2005,1016938.43,2967021.332
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,2005,229129.8662,394206.9945
31,AZE,Azerbaijan,Northern Africa and Western Asia,2005,1271560.481,9019118.806
32,ARG,Argentina,Latin America and the Caribbean,2005,4100964.517,17896357.31
36,AUS,Australia,Australia and New Zealand,2005,25020481.39,55512615.13
40,AUT,Austria,Europe,2005,27205979.18,74339857.63
44,BHS,Bahamas,Latin America and the Caribbean,2005,2828094.744,8098866.507
48,BHR,Bahrain,Northern Africa and Western Asia,2005,5706557.151,27305068.71
50,BGD,Bangladesh,Central and Southern Asia,2005,5604027.22,28102011.47
51,ARM,Armenia,Northern Africa and Western Asia,2005,901705.4561,3509137.623
52,BRB,Barbados,Latin America and the Caribbean,2005,604127.0381,1358751.26
56,BEL,Belgium,Europe,2005,88890426.12,223744473.4
60,BMU,Bermuda,Northern America,2005,129964.969,473058.145
64,BTN,Bhutan,Central and Southern Asia,2005,103490.499,352140.9254
68,BOL,Bolivia,Latin America and the Caribbean,2005,547405.9585,1341692.183
70,BIH,Bosnia Herzegovina,Europe,2005,2201606.504,6152967.984
72,BWA,Botswana,Sub-Saharan Africa,2005,554433.0409,1418957.149
74,BVT,Bouvet Island,,2005,799.679,131.637
76,BRA,Brazil,Latin America and the Caribbean,2005,24407868.04,89252778.75
84,BLZ,Belize,Latin America and the Caribbean,2005,298616.5594,806896.3495
86,IOT,British Indian Ocean Territory,,2005,1880.643,1274.398
90,SLB,Solomon Islands,Oceania (excl. Australia and New Zealand),2005,55040.532,105347.134
92,VGB,British Virgin Islands,Latin America and the Caribbean,2005,3814573.673,11517807.84
96,BRN,Brunei Darussalam,Eastern and South-Eastern Asia (excl. China),2005,229112.382,870285.606
100,BGR,Bulgaria,Europe,2005,5153942.093,17098163.36
104,MMR,Myanmar,Eastern and South-Eastern Asia (excl. China),2005,914280.708,2195374.176
108,BDI,Burundi,Sub-Saharan Africa,2005,106026.8284,255167.2666
112,BLR,Belarus,Europe,2005,8259871.516,42276361.41
116,KHM,Cambodia,Eastern and South-Eastern Asia (excl. China),2005,728078.8367,3244243.467
120,CMR,Cameroon,Sub-Saharan Africa,2005,1479330.773,4533048.217
124,CAN,Canada,Northern America,2005,59186296.92,167749880.6
132,CPV,Cabo Verde,Sub-Saharan Africa,2005,182248.9133,563072.2149
136,CYM,Cayman Islands,Latin America and the Caribbean,2005,351840.078,1247228.421
140,CAF,Central African Republic,Sub-Saharan Africa,2005,42724.182,101093.763
144,LKA,Sri Lanka,Central and Southern Asia,2005,3753557.619,10805464.92
148,TCD,Chad,Sub-Saharan Africa,2005,68453.437,181141.724
152,CHL,Chile,Latin America and the Caribbean,2005,11134937.78,32781901.58
156,CHN,China,China,2005,191325478,711238702.1
162,CXR,Christmas Islands,,2005,4982.126,12979.571
166,CCK,Cocos Islands,,2005,1755.132,6498.736
170,COL,Colombia,Latin America and the Caribbean,2005,4317388.441,11767873.45
174,COM,Comoros,Sub-Saharan Africa,2005,41744.549,124958.263
175,MYT,Mayotte,Sub-Saharan Africa,2005,113025.2967,266832.8191
178,COG,"Congo, Republic",Sub-Saharan Africa,2005,310736.674,949915.603
180,COD,"Congo, Democratic Republic",Sub-Saharan Africa,2005,589205.777,1488839.02
184,COK,Cook Islands,Oceania (excl. Australia and New Zealand),2005,27081.2242,29789.28267
