Exporter M.49,Exporter ISO3,Exporter,Exporter region,Importer M.49,Importer ISO3,Importer,Importer region,Resource,Year,Value (1000USD),Weight (1000kg)
,,All,,,,All,,Agricultural products,2010,1005844369,1913221762
,,All,,,,All,,Fertilizers,2010,62715610.19,182435485.2
,,All,,,,All,,Forestry products,2010,138609241.4,368897353
,,All,,,,All,,Fossil fuels,2010,2843997857,6118058193
,,All,,,,All,,Metals and minerals,2010,1270210606,2858813829
,,All,,,,All,,Pearls and gemstones,2010,84976034.81,122962.4884
,,All,,,,All,,Agricultural products,2011,1248789937,2084585086
,,All,,,,All,,Fertilizers,2011,88361067.64,204056453.3
,,All,,,,All,,Forestry products,2011,159065341.1,406059566.2
,,All,,,,All,,Fossil fuels,2011,3932900541,6394411966
,,All,,,,All,,Metals and minerals,2011,1636597869,2949882131
,,All,,,,All,,Pearls and gemstones,2011,112754405.8,132501.6901
,,All,,,,All,,Agricultural products,2012,1224615940,1319591988
,,All,,,,All,,Fertilizers,2012,85016132.12,195883544.6
,,All,,,,All,,Forestry products,2012,147782245.3,412891901.8
,,All,,,,All,,Fossil fuels,2012,3887694241,6227140715
,,All,,,,All,,Metals and minerals,2012,1618739724,3036614432
,,All,,,,All,,Pearls and gemstones,2012,120418602.7,124102.6883
,,All,,,,All,,Agricultural products,2013,1271592525,1984760402
,,All,,,,All,,Fertilizers,2013,77331851.78,204277721.8
,,All,,,,All,,Forestry products,2013,160201120.1,445166839.9
,,All,,,,All,,Fossil fuels,2013,3959682339,6664579171
,,All,,,,All,,Metals and minerals,2013,1643439422,3376441569
,,All,,,,All,,Pearls and gemstones,2013,133165563.4,137728.2944
,,All,,,,All,,Agricultural products,2014,1290254330,1823929285
,,All,,,,All,,Fertilizers,2014,76061347.51,213854022.3
,,All,,,,All,,Forestry products,2014,168380348.7,463412686.7
,,All,,,,All,,Fossil fuels,2014,3814564945,6549733522
,,All,,,,All,,Metals and minerals,2014,1492810836,3417500472
,,All,,,,All,,Pearls and gemstones,2014,145505793.4,153931.17
