Exporter M.49,Exporter ISO3,Exporter,Exporter region,Year,Value (1000USD),Weight (1000kg)
4,AFG,Afghanistan,Central and Southern Asia,2000,94443.57,50993.625
8,ALB,Albania,Europe,2000,75787.78024,174309.8229
10,ATA,Antarctica,,2000,3,3
12,DZA,Algeria,Northern Africa and Western Asia,2000,22966660.38,114953838.1
16,ASM,American Samoa,Oceania (excl. Australia and New Zealand),2000,9489.963,41882.66
20,AND,Andorra,Europe,2000,4550.235107,707836.1973
24,AGO,Angola,Sub-Saharan Africa,2000,7201018.101,34210817.33
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,2000,40881.83442,164516.6346
31,AZE,Azerbaijan,Northern Africa and Western Asia,2000,1758940.236,8438069.958
32,ARG,Argentina,Latin America and the Caribbean,2000,18764511.98,80404679.79
36,AUS,Australia,Australia and New Zealand,2000,51878288.91,517928863.5
40,AUT,Austria,Europe,2000,8694079.74,22511557.68
44,BHS,Bahamas,Latin America and the Caribbean,2000,316555.4126,1822226.473
48,BHR,Bahrain,Northern Africa and Western Asia,2000,2246500.73,48802555.74
50,BGD,Bangladesh,Central and Southern Asia,2000,869972.709,788765.573
51,ARM,Armenia,Northern Africa and Western Asia,2000,192170.9991,247122.1422
52,BRB,Barbados,Latin America and the Caribbean,2000,70079.22375,304516.1718
56,BEL,Belgium,Europe,2000,45496259.67,115806452.2
60,BMU,Bermuda,Northern America,2000,10450.736,28153.925
64,BTN,Bhutan,Central and Southern Asia,2000,9710.9,22036.348
68,BOL,Bolivia,Latin America and the Caribbean,2000,1178919.021,4735424.973
70,BIH,Bosnia Herzegovina,Europe,2000,443017.618,1413964.076
72,BWA,Botswana,Sub-Saharan Africa,2000,3034404.791,346112.9261
74,BVT,Bouvet Island,,2000,,
76,BRA,Brazil,Latin America and the Caribbean,2000,29492481.77,233871633.5
84,BLZ,Belize,Latin America and the Caribbean,2000,283326.9117,414114.1454
86,IOT,British Indian Ocean Territory,,2000,54419.755,27243.813
90,SLB,Solomon Islands,Oceania (excl. Australia and New Zealand),2000,55457.742,271543.726
92,VGB,British Virgin Islands,Latin America and the Caribbean,2000,57910.099,69107.594
96,BRN,Brunei Darussalam,Eastern and South-Eastern Asia (excl. China),2000,3196145.773,14244859.59
100,BGR,Bulgaria,Europe,2000,2341192.944,9169027.559
104,MMR,Myanmar,Eastern and South-Eastern Asia (excl. China),2000,646139.519,2231069.605
108,BDI,Burundi,Sub-Saharan Africa,2000,49829.449,25177.476
112,BLR,Belarus,Europe,2000,2686544.134,18393916.37
116,KHM,Cambodia,Eastern and South-Eastern Asia (excl. China),2000,147582.7628,313366.1151
120,CMR,Cameroon,Sub-Saharan Africa,2000,2218653.047,8464412.472
124,CAN,Canada,Northern America,2000,87768746.01,338517518.2
132,CPV,Cabo Verde,Sub-Saharan Africa,2000,30166.45823,121756.4275
136,CYM,Cayman Islands,Latin America and the Caribbean,2000,27433.784,137614.644
140,CAF,Central African Republic,Sub-Saharan Africa,2000,58607.5,101406.276
144,LKA,Sri Lanka,Central and Southern Asia,2000,1247229.499,1132592.062
