Exporter M.49,Exporter ISO3,Exporter,Exporter region,Year,Value (1000USD),Weight (1000kg)
4,AFG,Afghanistan,Central and Southern Asia,2015,782343.3128,1364236.271
8,ALB,Albania,Europe,2015,893651.538,3566747.872
10,ATA,Antarctica,,2015,4980.825,812.627
12,DZA,Algeria,Northern Africa and Western Asia,2015,38794536.38,90217132.78
16,ASM,American Samoa,Oceania (excl. Australia and New Zealand),2015,18821.663,16485.607
20,AND,Andorra,Europe,2015,25922.38441,175521.4567
24,AGO,Angola,Sub-Saharan Africa,2015,36939483.09,97008960.33
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,2015,95241.87882,180713.5725
31,AZE,Azerbaijan,Northern Africa and Western Asia,2015,15466736.17,38423383.34
32,ARG,Argentina,Latin America and the Caribbean,2015,41604140,85043519.46
36,AUS,Australia,Australia and New Zealand,2015,185095982.8,1413799418
40,AUT,Austria,Europe,2015,25150911.31,38866714.65
44,BHS,Bahamas,Latin America and the Caribbean,2015,658623.7068,2988100.459
48,BHR,Bahrain,Northern Africa and Western Asia,2015,8148175.862,15134789.91
50,BGD,Bangladesh,Central and Southern Asia,2015,2262661.076,2447858.871
51,ARM,Armenia,Northern Africa and Western Asia,2015,966784.3093,594592.7574
52,BRB,Barbados,Latin America and the Caribbean,2015,83000.69057,313594.138
56,BEL,Belgium,Europe,2015,101554690.7,149323010.1
60,BMU,Bermuda,Northern America,2015,37545.966,82418.707
64,BTN,Bhutan,Central and Southern Asia,2015,166640.281,448277.494
68,BOL,Bolivia,Latin America and the Caribbean,2015,8448505.079,18061091.72
70,BIH,Bosnia Herzegovina,Europe,2015,1718299.943,5538438.411
72,BWA,Botswana,Sub-Saharan Africa,2015,5366505.037,928450.5272
74,BVT,Bouvet Island,,2015,99.009,28.036
76,BRA,Brazil,Latin America and the Caribbean,2015,138034735.2,610056958.5
84,BLZ,Belize,Latin America and the Caribbean,2015,396274.5726,819337.6986
86,IOT,British Indian Ocean Territory,,2015,5866.086,3337.009
90,SLB,Solomon Islands,Oceania (excl. Australia and New Zealand),2015,385113.9189,1424678.824
92,VGB,British Virgin Islands,Latin America and the Caribbean,2015,164231.184,77669.64
96,BRN,Brunei Darussalam,Eastern and South-Eastern Asia (excl. China),2015,6071072.036,12354140.69
100,BGR,Bulgaria,Europe,2015,10908674.85,20505466.05
104,MMR,Myanmar,Eastern and South-Eastern Asia (excl. China),2015,13415024.62,35343755.37
108,BDI,Burundi,Sub-Saharan Africa,2015,195915.3506,65123.85886
112,BLR,Belarus,Europe,2015,16363593.57,48963812.99
116,KHM,Cambodia,Eastern and South-Eastern Asia (excl. China),2015,1697488.157,7770673.065
120,CMR,Cameroon,Sub-Saharan Africa,2015,4527980.823,6755668.438
124,CAN,Canada,Northern America,2015,187334016.7,443677435.9
132,CPV,Cabo Verde,Sub-Saharan Africa,2015,44623.98222,58042.43961
136,CYM,Cayman Islands,Latin America and the Caribbean,2015,109071.228,69184.559
140,CAF,Central African Republic,Sub-Saharan Africa,2015,52636.67447,164554.2692
144,LKA,Sri Lanka,Central and Southern Asia,2015,3211012.714,2130680.986
148,TCD,Chad,Sub-Saharan Africa,2015,2367108.954,5941042.606
152,CHL,Chile,Latin America and the Caribbean,2015,56619858.16,55785515.58
156,CHN,China,China,2015,188253410.6,1205873073
162,CXR,Christmas Islands,,2015,32423.441,216620.2
166,CCK,Cocos Islands,,2015,351.013,474.629
170,COL,Colombia,Latin America and the Caribbean,2015,32460122.38,146852111.1
174,COM,Comoros,Sub-Saharan Africa,2015,34624.95522,47544.52067
178,COG,"Congo, Republic",Sub-Saharan Africa,2015,5602858.745,10899411.71
180,COD,"Congo, Democratic Republic",Sub-Saharan Africa,2015,5636980.484,2271695.204
184,COK,Cook Islands,Oceania (excl. Australia and New Zealand),2015,17141.269,4986.046
188,CRI,Costa Rica,Latin America and the Caribbean,2015,4532338.287,6482596.44
191,HRV,Croatia,Europe,2015,3640733.529,12294880.83
192,CUB,Cuba,Latin America and the Caribbean,2015,959967.388,1792607.631
196,CYP,Cyprus,Northern Africa and Western Asia,2015,1810793.098,4704506.144
203,CZE,Czech Republic,Europe,2015,16128396.44,43904457.46
204,BEN,Benin,Sub-Saharan Africa,2015,1027153.966,1311657.014
208,DNK,Denmark,Europe,2015,22469116.44,29095054.06
212,DMA,Dominica,Latin America and the Caribbean,2015,54980.117,207864.301
214,DOM,Dominican Republic,Latin America and the Caribbean,2015,3096001.584,5413318.357
218,ECU,Ecuador,Latin America and the Caribbean,2015,17537657.84,31850167.82
222,SLV,El Salvador,Latin America and the Caribbean,2015,1014939.649,1615687.924
226,GNQ,Equatorial Guinea,Sub-Saharan Africa,2015,6305798.142,14289544.98
231,ETH,Ethiopia,Sub-Saharan Africa,2015,2502559.371,1262858.808
232,ERI,Eritrea,Sub-Saharan Africa,2015,436813.513,257014.452
233,EST,Estonia,Europe,2015,3928031.89,12076598.3
234,FRO,Faeroe Islands,Europe,2015,1225586.213,466474.162
238,FLK,Falkland Islands (Malvinas),Latin America and the Caribbean,2015,191426.329,58784.05
239,SGS,South Georgia and the South Sandwich Islands,,2015,5740.757,3194.617
242,FJI,Fiji,Oceania (excl. Australia and New Zealand),2015,725745.1671,1554421.17
246,FIN,Finland,Europe,2015,19430732.49,26769372.34
251,FRA,France,Europe,2015,80942921.85,142465101.1
258,PYF,French Polynesia,Oceania (excl. Australia and New Zealand),2015,149396.2494,20797.07848
260,ATF,French Southern Territories,,2015,5427.427,1155.727
262,DJI,Djibouti,Sub-Saharan Africa,2015,88137.64,98748.898
266,GAB,Gabon,Sub-Saharan Africa,2015,5942476.036,16202952.32
268,GEO,Georgia,Northern Africa and Western Asia,2015,1517873.979,2342237.85
270,GMB,Gambia,Sub-Saharan Africa,2015,130612.6723,209292.0514
275,PSE,State of Palestine,Northern Africa and Western Asia,2015,436816.3433,549000.6866
276,DEU,Germany,Europe,2015,146728464.2,243908194.9
288,GHA,Ghana,Sub-Saharan Africa,2015,10707541.97,10396627.37
292,GIB,Gibraltar,Europe,2015,306903.745,895398.19
296,KIR,Kiribati,Oceania (excl. Australia and New Zealand),2015,127117.7366,95546.71341
300,GRC,Greece,Europe,2015,15811233.73,31717877.91
304,GRL,Greenland,Northern America,2015,663416.1708,275332.8027
308,GRD,Grenada,Latin America and the Caribbean,2015,29322.98,18167.218
316,GUM,Guam,Oceania (excl. Australia and New Zealand),2015,2723.09,1637.066
320,GTM,Guatemala,Latin America and the Caribbean,2015,6795149.839,13537808.31
324,GIN,Guinea,Sub-Saharan Africa,2015,1579773.454,20027578.54
328,GUY,Guyana,Latin America and the Caribbean,2015,1198379.601,2862115.339
332,HTI,Haiti,Latin America and the Caribbean,2015,65104.399,57729.651
334,HMD,Heard Island and McDonald Islands,,2015,119.345,168.991
336,VAT,Holy See,Europe,2015,6047.058,2606.218
340,HND,Honduras,Latin America and the Caribbean,2015,3032675.073,4385910.699
344,HKG,"China, Hong Kong SAR",China,2015,52002889.22,11127957
348,HUN,Hungary,Europe,2015,10712489.1,24386197.74
352,ISL,Iceland,Europe,2015,4651713.189,2299037.356
360,IDN,Indonesia,Eastern and South-Eastern Asia (excl. China),2015,91821061.66,486332622
364,IRN,Iran,Central and Southern Asia,2015,53074964.65,150426636.7
368,IRQ,Iraq,Northern Africa and Western Asia,2015,103821453.9,211662644.5
372,IRL,Ireland,Europe,2015,10618881.16,13720847.83
376,ISR,Israel,Northern Africa and Western Asia,2015,21590051.57,13989276.66
381,ITA,Italy,Europe,2015,65558799.55,78682354.67
384,CIV,Cote d'Ivoire,Sub-Saharan Africa,2015,11395937.38,8687632.911
388,JAM,Jamaica,Latin America and the Caribbean,2015,447616.4559,6024180.719
392,JPN,Japan,Eastern and South-Eastern Asia (excl. China),2015,69339020.26,113059431.8
398,KAZ,Kazakhstan,Central and Southern Asia,2015,39406182.62,139641540.9
400,JOR,Jordan,Northern Africa and Western Asia,2015,3033686.316,10283362.2
404,KEN,Kenya,Sub-Saharan Africa,2015,4312153.037,3976725.586
408,PRK,"Korea, Democratic People’s Republic",Eastern and South-Eastern Asia (excl. China),2015,1821790.269,22799201.97
410,KOR,"Korea, Republic",Eastern and South-Eastern Asia (excl. China),2015,75094412.77,113963101.3
414,KWT,Kuwait,Northern Africa and Western Asia,2015,100773373.4,253240021.3
417,KGZ,Kyrgyzstan,Central and Southern Asia,2015,938044.5396,1187128.001
418,LAO,Lao PDR,Eastern and South-Eastern Asia (excl. China),2015,2569239.64,3445670.624
422,LBN,Lebanon,Northern Africa and Western Asia,2015,1362707.248,1854998.403
426,LSO,Lesotho,Sub-Saharan Africa,2015,429718.5037,157207.082
428,LVA,Latvia,Europe,2015,5510949.695,18688492.71
430,LBR,Liberia,Sub-Saharan Africa,2015,605302.595,5792057.249
434,LBY,Libya,Northern Africa and Western Asia,2015,10926916.92,23220703.14
440,LTU,Lithuania,Europe,2015,9910182.447,24515825.37
442,LUX,Luxembourg,Europe,2015,5448801.714,8234906.869
446,MAC,"China, Macao SAR",China,2015,177482.228,241864.6206
450,MDG,Madagascar,Sub-Saharan Africa,2015,1835868.161,1037297.027
454,MWI,Malawi,Sub-Saharan Africa,2015,1092781.095,665607.7019
458,MYS,Malaysia,Eastern and South-Eastern Asia (excl. China),2015,70495221.87,181232186.3
462,MDV,Maldives,Central and Southern Asia,2015,169947.1003,58130.73193
466,MLI,Mali,Sub-Saharan Africa,2015,3521384.624,369869.447
470,MLT,Malta,Europe,2015,2228379.711,5636760.765
473,,"Latin American Integration Association, nes",,2015,2597.601,2238.789
478,MRT,Mauritania,Sub-Saharan Africa,2015,2736235.573,22603679.28
480,MUS,Mauritius,Sub-Saharan Africa,2015,1201518.016,1223462.303
484,MEX,Mexico,Latin America and the Caribbean,2015,58282177.61,122336151.1
490,,"Other Asia, nes",,2015,31735800.41,40928828.22
496,MNG,Mongolia,Eastern and South-Eastern Asia (excl. China),2015,4548218.614,23648405.74
498,MDA,Moldova,Europe,2015,1050402.329,2624361.457
499,MNE,Montenegro,Europe,2015,266064.9755,1059578.971
500,MSR,Montserrat,Latin America and the Caribbean,2015,953.505,26042.193
504,MAR,Morocco,Northern Africa and Western Asia,2015,10318745.06,27113352.71
508,MOZ,Mozambique,Sub-Saharan Africa,2015,4195394.299,12549389.56
512,OMN,Oman,Northern Africa and Western Asia,2015,48470464.88,128472727.5
516,NAM,Namibia,Sub-Saharan Africa,2015,4219986.637,2392219.86
520,NRU,Nauru,Oceania (excl. Australia and New Zealand),2015,22655.985,122162.054
524,NPL,Nepal,Central and Southern Asia,2015,232691.971,278647.3474
527,,"Oceania, nes",,2015,7967.507,366.26
528,NLD,Netherlands,Europe,2015,142162163.5,222277611.9
531,CUW,Curacao,Latin America and the Caribbean,2015,1577602.405,2093109.497
533,ABW,Aruba,Latin America and the Caribbean,2015,287373.7383,598834.736
534,SXM,Sint Maarten (Dutch part),Latin America and the Caribbean,2015,12299.268,39813.782
535,BES,Bonaire,Latin America and the Caribbean,2015,9508.098,72433.337
540,NCL,New Caledonia,Oceania (excl. Australia and New Zealand),2015,1366461.939,5977586.103
548,VUT,Vanuatu,Oceania (excl. Australia and New Zealand),2015,111487.74,52100.95
554,NZL,New Zealand,Australia and New Zealand,2015,25025713.49,30277706.07
558,NIC,Nicaragua,Latin America and the Caribbean,2015,2526795.03,1720369
562,NER,Niger,Sub-Saharan Africa,2015,776886.907,626629.1791
566,NGA,Nigeria,Sub-Saharan Africa,2015,50544204.04,115295272
