Exporter M.49,Exporter ISO3,Exporter,Exporter region,Year,Value (1000USD),Weight (1000kg)
288,GHA,Ghana,Sub-Saharan Africa,2010,3768075.786,3338969.055
292,GIB,Gibraltar,Europe,2010,252364.933,412115.092
296,KIR,Kiribati,Oceania (excl. Australia and New Zealand),2010,20423.43865,15448.71833
300,GRC,Greece,Europe,2010,14772516.49,22580909.05
304,GRL,Greenland,Northern America,2010,470826.6424,474635.3329
308,GRD,Grenada,Latin America and the Caribbean,2010,21506.228,10603.546
316,GUM,Guam,Oceania (excl. Australia and New Zealand),2010,46876.258,66903.205
320,GTM,Guatemala,Latin America and the Caribbean,2010,5700552.731,6967764.474
324,GIN,Guinea,Sub-Saharan Africa,2010,1816194.664,17501491.02
328,GUY,Guyana,Latin America and the Caribbean,2010,1087411.3,2190657.386
332,HTI,Haiti,Latin America and the Caribbean,2010,59827.011,71102.663
334,HMD,Heard Island and McDonald Islands,,2010,92.386,121.596
336,VAT,Holy See,Europe,2010,224.343,231.714
340,HND,Honduras,Latin America and the Caribbean,2010,2585635.917,3139720.339
344,HKG,"China, Hong Kong SAR",China,2010,31377282.33,8797626.833
348,HUN,Hungary,Europe,2010,10780098.7,21208236.39
352,ISL,Iceland,Europe,2010,4196972.852,2500299.293
360,IDN,Indonesia,Eastern and South-Eastern Asia (excl. China),2010,109180167.4,466102213.8
364,IRN,Iran,Central and Southern Asia,2010,115327570,241423440.6
368,IRQ,Iraq,Northern Africa and Western Asia,2010,102291790.5,183374332.7
372,IRL,Ireland,Europe,2010,10575925.99,10779779.63
376,ISR,Israel,Northern Africa and Western Asia,2010,21192234.53,15473682.47
381,ITA,Italy,Europe,2010,71919497.93,74033591.55
384,CIV,Cote d'Ivoire,Sub-Saharan Africa,2010,9467416.962,8114262.243
388,JAM,Jamaica,Latin America and the Caribbean,2010,503958.6638,4262080.872
392,JPN,Japan,Eastern and South-Eastern Asia (excl. China),2010,84706042.08,108610373.3
398,KAZ,Kazakhstan,Central and Southern Asia,2010,53747977.46,133876455
400,JOR,Jordan,Northern Africa and Western Asia,2010,3520589.704,9865818.79
404,KEN,Kenya,Sub-Saharan Africa,2010,3416340.857,2649210.27
408,PRK,"Korea, Democratic People’s Republic",Eastern and South-Eastern Asia (excl. China),2010,1188494.482,8404386.411
410,KOR,"Korea, Republic",Eastern and South-Eastern Asia (excl. China),2010,74908684.86,88045352.66
414,KWT,Kuwait,Northern Africa and Western Asia,2010,118519128.4,203823806.4
417,KGZ,Kyrgyzstan,Central and Southern Asia,2010,1086964.769,1858991.865
418,LAO,Lao PDR,Eastern and South-Eastern Asia (excl. China),2010,1789901.111,2475025.853
422,LBN,Lebanon,Northern Africa and Western Asia,2010,2028076.221,2490048.219
426,LSO,Lesotho,Sub-Saharan Africa,2010,137955.2646,227943.6078
428,LVA,Latvia,Europe,2010,4788410.879,16558118.34
430,LBR,Liberia,Sub-Saharan Africa,2010,561656.679,692719.798
434,LBY,Libya,Northern Africa and Western Asia,2010,44259034.13,75572208.16
440,LTU,Lithuania,Europe,2010,9412463.329,17697018.08
442,LUX,Luxembourg,Europe,2010,6628813.995,8536204.084
446,MAC,"China, Macao SAR",China,2010,111522.813,105113.6022
450,MDG,Madagascar,Sub-Saharan Africa,2010,539156.7068,768858.19
454,MWI,Malawi,Sub-Saharan Africa,2010,1151081.02,600704.4808
458,MYS,Malaysia,Eastern and South-Eastern Asia (excl. China),2010,77245959.15,131792349.6
462,MDV,Maldives,Central and Southern Asia,2010,115560.6788,110668.5286
466,MLI,Mali,Sub-Saharan Africa,2010,2085697.197,627126.2311
470,MLT,Malta,Europe,2010,2414798.537,4449355.1
473,,"Latin American Integration Association, nes",,2010,587.938,215.238
478,MRT,Mauritania,Sub-Saharan Africa,2010,2607165.947,17840970.42
480,MUS,Mauritius,Sub-Saharan Africa,2010,729595.5388,983832.6023
484,MEX,Mexico,Latin America and the Caribbean,2010,72616297.27,127556306.9
490,,"Other Asia, nes",,2010,36458105.51,41940406.83
496,MNG,Mongolia,Eastern and South-Eastern Asia (excl. China),2010,3035871.91,20919113.26
498,MDA,Moldova,Europe,2010,817410.4388,1712359.189
499,MNE,Montenegro,Europe,2010,315850.7246,663700.801
500,MSR,Montserrat,Latin America and the Caribbean,2010,183.564,103.334
504,MAR,Morocco,Northern Africa and Western Asia,2010,8664698.641,23041168.45
508,MOZ,Mozambique,Sub-Saharan Africa,2010,4234309.078,5675808.184
512,OMN,Oman,Northern Africa and Western Asia,2010,33097943.17,73844621.14
516,NAM,Namibia,Sub-Saharan Africa,2010,4391394.455,2712001.57
520,NRU,Nauru,Oceania (excl. Australia and New Zealand),2010,49601.532,345090.974
524,NPL,Nepal,Central and Southern Asia,2010,302151.302,1036340.828
527,,"Oceania, nes",,2010,2819.507,584.485
528,NLD,Netherlands,Europe,2010,155870667,205917200.1
530,ANT,Netherlands Antilles,,2010,1504387.567,2352584.823
531,CUW,Curacao,Latin America and the Caribbean,2010,948.079,3178.63
533,ABW,Aruba,Latin America and the Caribbean,2010,199643.4782,326149.36
540,NCL,New Caledonia,Oceania (excl. Australia and New Zealand),2010,1469002.977,7499888.352
548,VUT,Vanuatu,Oceania (excl. Australia and New Zealand),2010,239191.3952,166223.2272
554,NZL,New Zealand,Australia and New Zealand,2010,22483205.1,24737922.06
558,NIC,Nicaragua,Latin America and the Caribbean,2010,1783101.129,1475159.419
562,NER,Niger,Sub-Saharan Africa,2010,430432.3109,259284.1419
566,NGA,Nigeria,Sub-Saharan Africa,2010,94064565.25,145549303.6
568,,"Other Europe, nes",,2010,2799391.031,2378426.899
570,NIU,Niue,Oceania (excl. Australia and New Zealand),2010,53689.716,101799.039
574,NFK,Norfolk Islands,Australia and New Zealand,2010,569.319,216.015
577,,"Other Africa, nes",,2010,18362.527,19139.604
579,NOR,Norway,Europe,2010,105385174.4,211089135
580,MNP,Northern Mariana Islands,Oceania (excl. Australia and New Zealand),2010,2144.932,2038.733
581,UMI,United States Minor Outlying Islands,,2010,5838.193,1092.947
583,FSM,Micronesia,Oceania (excl. Australia and New Zealand),2010,77490.865,54000.932
584,MHL,Marshall Islands,Oceania (excl. Australia and New Zealand),2010,105858.072,124246.306
585,PLW,Palau,Oceania (excl. Australia and New Zealand),2010,16754.471,3481.907
586,PAK,Pakistan,Central and Southern Asia,2010,8881760.971,24197959.64
591,PAN,Panama,Latin America and the Caribbean,2010,2426848.631,3462725.146
598,PNG,Papua New Guinea,Oceania (excl. Australia and New Zealand),2010,6052447.404,5710273.204
600,PRY,Paraguay,Latin America and the Caribbean,2010,4273743.311,9899078.492
604,PER,Peru,Latin America and the Caribbean,2010,32855920.37,27324414.5
608,PHL,Philippines,Eastern and South-Eastern Asia (excl. China),2010,10013656.52,35475191.35
612,PCN,Pitcairn,Oceania (excl. Australia and New Zealand),2010,491.899,119.14
616,POL,Poland,Europe,2010,30831414.05,52564708.03
620,PRT,Portugal,Europe,2010,11606540.71,20024739.01
624,GNB,Guinea-Bissau,Sub-Saharan Africa,2010,165018.464,224863.998
626,TLS,Timor-Leste,Eastern and South-Eastern Asia (excl. China),2010,57641.696,64393.941
634,QAT,Qatar,Northern Africa and Western Asia,2010,73322596.45,146523859.4
637,,"North America and Central America, nes",,2010,43224.241,64643.091
642,ROU,Romania,Europe,2010,12360198.82,23971276.6
643,RUS,Russian Federation,Europe,2010,393662414.9,849457868.3
646,RWA,Rwanda,Sub-Saharan Africa,2010,298330.3914,127341.3193
654,SHN,Saint Helena,Sub-Saharan Africa,2010,10899.045,781.453
659,KNA,Saint Kitts and Nevis,Latin America and the Caribbean,2010,2089.841224,2605.391521
660,AIA,Anguilla,Latin America and the Caribbean,2010,487.587,236.937
662,LCA,Saint Lucia,Latin America and the Caribbean,2010,82395.56795,192243.4783
666,SPM,Saint Pierre and Miquelon,Northern America,2010,5949.298,1696.545
670,VCT,Saint Vincent and the Grenadines,Latin America and the Caribbean,2010,28354.5145,80911.97157
674,SMR,San Marino,Europe,2010,8872.913,5003.588
678,STP,Sao Tome and Principe,Sub-Saharan Africa,2010,7995.035033,3866.648402
682,SAU,Saudi Arabia,Northern Africa and Western Asia,2010,348525235.6,604070427.1
686,SEN,Senegal,Sub-Saharan Africa,2010,1716529.685,3771596.225
688,SRB,Serbia,Europe,2010,4198859.934,7543262.102
690,SYC,Seychelles,Sub-Saharan Africa,2010,300329.2434,314543.28
694,SLE,Sierra Leone,Sub-Saharan Africa,2010,179426.553,1462540.029
699,IND,India,Central and Southern Asia,2010,106938170.8,232545148.7
702,SGP,Singapore,Eastern and South-Eastern Asia (excl. China),2010,63456994.16,73705656.91
703,SVK,Slovakia,Europe,2010,12104533.19,21394281.14
704,VNM,Vietnam,Eastern and South-Eastern Asia (excl. China),2010,26646382.7,61723379.45
705,SVN,Slovenia,Europe,2010,3947177.542,6425786.91
706,SOM,Somalia,Sub-Saharan Africa,2010,290817.544,282023.164
710,ZAF,South Africa,Sub-Saharan Africa,2010,64316479.69,203966752.7
716,ZWE,Zimbabwe,Sub-Saharan Africa,2010,2194813.242,2019006.169
724,ESP,Spain,Europe,2010,67135454.5,77718334.1
729,SDN,Sudan,Northern Africa and Western Asia,2010,8.282,0.655
732,ESH,Western Sahara,Northern Africa and Western Asia,2010,0.935,0.113
736,SDN,Former Sudan,,2010,10121173.33,15804562.93
740,SUR,Suriname,Latin America and the Caribbean,2010,1013549.72,920970.9938
748,SWZ,Eswatini,Sub-Saharan Africa,2010,862307.3053,1463909.353
752,SWE,Sweden,Europe,2010,38172884.58,66277788.93
757,CHE,Switzerland,Europe,2010,54576887.59,18960123.28
760,SYR,Syria,Northern Africa and Western Asia,2010,8724878.994,17466676.73
762,TJK,Tajikistan,Central and Southern Asia,2010,1095276.885,752635.903
764,THA,Thailand,Eastern and South-Eastern Asia (excl. China),2010,48746707.05,80670476.1
768,TGO,Togo,Sub-Saharan Africa,2010,1063614.638,4515872.129
772,TKL,Tokelau,Oceania (excl. Australia and New Zealand),2010,12661.972,11297.109
776,TON,Tonga,Oceania (excl. Australia and New Zealand),2010,11289.75931,7200.267666
780,TTO,Trinidad and Tobago,Latin America and the Caribbean,2010,10560835.93,24254233.24
784,ARE,United Arab Emirates,Northern Africa and Western Asia,2010,114037046.7,197559436.5
788,TUN,Tunisia,Northern Africa and Western Asia,2010,5413444.748,13202964.95
792,TUR,Turkey,Northern Africa and Western Asia,2010,34066071.42,73295345.67
795,TKM,Turkmenistan,Central and Southern Asia,2010,2319486.192,4245156.778
796,TCA,Turks and Caicos Islands,Latin America and the Caribbean,2010,8990.94,14170.113
798,TUV,Tuvalu,Oceania (excl. Australia and New Zealand),2010,12891.089,8825.386
800,UGA,Uganda,Sub-Saharan Africa,2010,1344846.161,1602876.816
804,UKR,Ukraine,Europe,2010,37936896.16,139035612.8
807,MKD,North Macedonia,Europe,2010,1484635.801,2283747.253
818,EGY,Egypt,Northern Africa and Western Asia,2010,22114546.75,49975982.69
826,GBR,United Kingdom,Europe,2010,100791261.3,139701379
834,TZA,Tanzania,Sub-Saharan Africa,2010,3016667.684,2074504.929
837,,Bunkers,,2010,193496.28,390332.477
838,,Free Zones,,2010,592313.636,1107001.468
839,,Special Categories,,2010,39228116.95,102418978.6
842,USA,United States,Northern America,2010,279430132.6,584936806.7
854,BFA,Burkina Faso,Sub-Saharan Africa,2010,565677.0969,591145.4324
858,URY,Uruguay,Latin America and the Caribbean,2010,6696162.124,14128529.88
860,UZB,Uzbekistan,Central and Southern Asia,2010,4690879.811,6583285.773
862,VEN,Venezuela,Latin America and the Caribbean,2010,120157618.7,224557414.3
876,WLF,Wallis and Futuna Islands,Oceania (excl. Australia and New Zealand),2010,432.698,438.728
882,WSM,Samoa,Oceania (excl. Australia and New Zealand),2010,28725.56276,26702.5523
887,YEM,Yemen,Northern Africa and Western Asia,2010,7486176.857,14553592.3
891,SCG,Serbia and Montenegro,,2010,147.282,11.068
894,ZMB,Zambia,Sub-Saharan Africa,2010,8733875.826,2737188.7
899,,"Areas, nes",,2010,26422957.14,64152407.65
4,AFG,Afghanistan,Central and Southern Asia,2011,466490.6156,1297925.854
8,ALB,Albania,Europe,2011,1079960.455,3507400.313
10,ATA,Antarctica,,2011,274.94,112.752
12,DZA,Algeria,Northern Africa and Western Asia,2011,76931482.84,118470545.6
16,ASM,American Samoa,Oceania (excl. Australia and New Zealand),2011,16505.511,18955.622
20,AND,Andorra,Europe,2011,228175.6507,142202.8004
24,AGO,Angola,Sub-Saharan Africa,2011,68597592.42,92081289.16
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,2011,346799.2151,235208.1233
31,AZE,Azerbaijan,Northern Africa and Western Asia,2011,31699317.74,40678756
32,ARG,Argentina,Latin America and the Caribbean,2011,56646487.92,90923914.43
36,AUS,Australia,Australia and New Zealand,2011,245782975.4,921241953
40,AUT,Austria,Europe,2011,34631959.96,38605945.67
44,BHS,Bahamas,Latin America and the Caribbean,2011,2121926.288,6094693.8
48,BHR,Bahrain,Northern Africa and Western Asia,2011,25474916.56,37846989.18
50,BGD,Bangladesh,Central and Southern Asia,2011,2714154.454,2390615.232
51,ARM,Armenia,Northern Africa and Western Asia,2011,961500.9861,535601.8659
52,BRB,Barbados,Latin America and the Caribbean,2011,523610.7745,444016.1896
56,BEL,Belgium,Europe,2011,143329260.5,166011253
60,BMU,Bermuda,Northern America,2011,60368.222,57973.254
64,BTN,Bhutan,Central and Southern Asia,2011,300774.0932,2093817.112
68,BOL,Bolivia,Latin America and the Caribbean,2011,8508039.11,13228865.77
70,BIH,Bosnia Herzegovina,Europe,2011,2462699.649,6309115.905
72,BWA,Botswana,Sub-Saharan Africa,2011,5486333.805,785280.8359
74,BVT,Bouvet Island,,2011,9985.673,2851.41
76,BRA,Brazil,Latin America and the Caribbean,2011,191452767.4,509178486.4
84,BLZ,Belize,Latin America and the Caribbean,2011,604898.8975,1003457.641
86,IOT,British Indian Ocean Territory,,2011,1050.966,559.543
90,SLB,Solomon Islands,Oceania (excl. Australia and New Zealand),2011,683699.1916,2197187.043
92,VGB,British Virgin Islands,Latin America and the Caribbean,2011,264228.262,157640.951
96,BRN,Brunei Darussalam,Eastern and South-Eastern Asia (excl. China),2011,11998995.82,14525828.64
100,BGR,Bulgaria,Europe,2011,14209896.95,17003963.84
104,MMR,Myanmar,Eastern and South-Eastern Asia (excl. China),2011,7075072.03,20865841.3
108,BDI,Burundi,Sub-Saharan Africa,2011,192844.2108,46451.38766
112,BLR,Belarus,Europe,2011,21009722.96,35212039.27
116,KHM,Cambodia,Eastern and South-Eastern Asia (excl. China),2011,1024085.328,2549215.671
120,CMR,Cameroon,Sub-Saharan Africa,2011,3942800.94,4160405.082
124,CAN,Canada,Northern America,2011,237710935.7,408851125.6
132,CPV,Cabo Verde,Sub-Saharan Africa,2011,186621.1912,194909.5318
136,CYM,Cayman Islands,Latin America and the Caribbean,2011,5394.09,7456.464
140,CAF,Central African Republic,Sub-Saharan Africa,2011,145716.2987,178983.0633
144,LKA,Sri Lanka,Central and Southern Asia,2011,3523898.886,2107169.957
148,TCD,Chad,Sub-Saharan Africa,2011,3844351.502,5061636.049
152,CHL,Chile,Latin America and the Caribbean,2011,72726089.43,46908893.43
156,CHN,China,China,2011,177092553.2,1105353108
162,CXR,Christmas Islands,,2011,21170.232,141380.911
166,CCK,Cocos Islands,,2011,47888.803,74769.622
170,COL,Colombia,Latin America and the Caribbean,2011,51418626.75,139986354.7
174,COM,Comoros,Sub-Saharan Africa,2011,37380.06026,13484.66987
175,MYT,Mayotte,Sub-Saharan Africa,2011,8469.134,3739.158
178,COG,"Congo, Republic",Sub-Saharan Africa,2011,12443156.23,20376390.61
180,COD,"Congo, Democratic Republic",Sub-Saharan Africa,2011,6288374.089,2881331.578
184,COK,Cook Islands,Oceania (excl. Australia and New Zealand),2011,17312.901,4626.727
188,CRI,Costa Rica,Latin America and the Caribbean,2011,4783987.339,6975052.719
191,HRV,Croatia,Europe,2011,4363507.397,10723297.58
192,CUB,Cuba,Latin America and the Caribbean,2011,1929173.897,1523690.565
196,CYP,Cyprus,Northern Africa and Western Asia,2011,2629341.385,3689918.184
203,CZE,Czech Republic,Europe,2011,19697272.64,41315854.16
204,BEN,Benin,Sub-Saharan Africa,2011,1089854.943,1209928.564
208,DNK,Denmark,Europe,2011,31732711.61,30289346.59
212,DMA,Dominica,Latin America and the Caribbean,2011,44041.723,413805.058
214,DOM,Dominican Republic,Latin America and the Caribbean,2011,2717518.092,4455765.964
218,ECU,Ecuador,Latin America and the Caribbean,2011,21461150.89,27337931.57
222,SLV,El Salvador,Latin America and the Caribbean,2011,1584069.769,1422806.757
226,GNQ,Equatorial Guinea,Sub-Saharan Africa,2011,12468479.22,15618826.1
231,ETH,Ethiopia,Sub-Saharan Africa,2011,1863594.872,889843.8979
232,ERI,Eritrea,Sub-Saharan Africa,2011,333174.067,6022.512
233,EST,Estonia,Europe,2011,6161373.351,12894692.46
234,FRO,Faeroe Islands,Europe,2011,1031923.629,408249.341
238,FLK,Falkland Islands (Malvinas),Latin America and the Caribbean,2011,180646.982,56218.167
239,SGS,South Georgia and the South Sandwich Islands,,2011,141.318,28.506
242,FJI,Fiji,Oceania (excl. Australia and New Zealand),2011,881618.9225,1211105.433
246,FIN,Finland,Europe,2011,26794823.19,27261810.61
251,FRA,France,Europe,2011,116250577.6,148785959.3
258,PYF,French Polynesia,Oceania (excl. Australia and New Zealand),2011,176343.9223,15702.15937
260,ATF,French Southern Territories,,2011,3541.62,594.56
262,DJI,Djibouti,Sub-Saharan Africa,2011,104071.006,59159.4
266,GAB,Gabon,Sub-Saharan Africa,2011,10641602.26,14815215.33
268,GEO,Georgia,Northern Africa and Western Asia,2011,2100344.647,2653997.008
270,GMB,Gambia,Sub-Saharan Africa,2011,148151.879,242755.2356
275,PSE,State of Palestine,Northern Africa and Western Asia,2011,299673.985,376212.5157
276,DEU,Germany,Europe,2011,196149959.2,237333616.3
288,GHA,Ghana,Sub-Saharan Africa,2011,9473872.452,8641100.058
292,GIB,Gibraltar,Europe,2011,211676.537,240648.046
296,KIR,Kiribati,Oceania (excl. Australia and New Zealand),2011,54732.04331,33653.37444
300,GRC,Greece,Europe,2011,18956392.18,22107352.44
304,GRL,Greenland,Northern America,2011,560121.0525,190254.5435
308,GRD,Grenada,Latin America and the Caribbean,2011,27034.448,11832.775
316,GUM,Guam,Oceania (excl. Australia and New Zealand),2011,73022.001,90291.388
320,GTM,Guatemala,Latin America and the Caribbean,2011,7563336.362,6925017.153
324,GIN,Guinea,Sub-Saharan Africa,2011,1756533.987,17071536.84
328,GUY,Guyana,Latin America and the Caribbean,2011,1381649.635,3167493.744
332,HTI,Haiti,Latin America and the Caribbean,2011,92875.703,134144.013
334,HMD,Heard Island and McDonald Islands,,2011,74.433,63.104
336,VAT,Holy See,Europe,2011,480.301,245.233
340,HND,Honduras,Latin America and the Caribbean,2011,3395915.667,3628035.889
344,HKG,"China, Hong Kong SAR",China,2011,55289521.79,9543373.956
348,HUN,Hungary,Europe,2011,14146874.97,21257137.59
352,ISL,Iceland,Europe,2011,4860489.008,2056230.147
360,IDN,Indonesia,Eastern and South-Eastern Asia (excl. China),2011,145761142.1,558140976
364,IRN,Iran,Central and Southern Asia,2011,168717509.5,250781269.3
368,IRQ,Iraq,Northern Africa and Western Asia,2011,160147187.8,250192849.1
372,IRL,Ireland,Europe,2011,13032137.36,11879616.95
376,ISR,Israel,Northern Africa and Western Asia,2011,28969652.49,16081674.66
381,ITA,Italy,Europe,2011,92970768.6,76230508.01
384,CIV,Cote d'Ivoire,Sub-Saharan Africa,2011,11194973.83,7482464.191
388,JAM,Jamaica,Latin America and the Caribbean,2011,654543.1026,6041122.692
392,JPN,Japan,Eastern and South-Eastern Asia (excl. China),2011,96905902.25,101458611.2
398,KAZ,Kazakhstan,Central and Southern Asia,2011,79300359,154632600.9
400,JOR,Jordan,Northern Africa and Western Asia,2011,4792350.283,12563361.95
404,KEN,Kenya,Sub-Saharan Africa,2011,3459146.19,2488364.472
408,PRK,"Korea, Democratic People’s Republic",Eastern and South-Eastern Asia (excl. China),2011,2213339.664,15376620.72
410,KOR,"Korea, Republic",Eastern and South-Eastern Asia (excl. China),2011,108289562.7,104129599.4
414,KWT,Kuwait,Northern Africa and Western Asia,2011,180865037.7,110939801.9
417,KGZ,Kyrgyzstan,Central and Southern Asia,2011,1537403.616,2031884.958
418,LAO,Lao PDR,Eastern and South-Eastern Asia (excl. China),2011,2465170.592,2619725.83
422,LBN,Lebanon,Northern Africa and Western Asia,2011,2681028.664,1990016.625
426,LSO,Lesotho,Sub-Saharan Africa,2011,99393.35832,115079.1935
428,LVA,Latvia,Europe,2011,6365243.581,17046396.22
430,LBR,Liberia,Sub-Saharan Africa,2011,616208.495,697836.721
434,LBY,Libya,Northern Africa and Western Asia,2011,18418180.44,23684761.11
440,LTU,Lithuania,Europe,2011,13642435.52,20558248.4
442,LUX,Luxembourg,Europe,2011,7508672.804,8289486.211
446,MAC,"China, Macao SAR",China,2011,162926.8983,271193.3637
450,MDG,Madagascar,Sub-Saharan Africa,2011,905249.898,933272.1783
454,MWI,Malawi,Sub-Saharan Africa,2011,1377223.928,1110256.312
458,MYS,Malaysia,Eastern and South-Eastern Asia (excl. China),2011,98084816.43,135322870.5
462,MDV,Maldives,Central and Southern Asia,2011,151605.5192,71867.81978
466,MLI,Mali,Sub-Saharan Africa,2011,2398718.163,872710.6053
470,MLT,Malta,Europe,2011,3121372.45,3865831.53
473,,"Latin American Integration Association, nes",,2011,1547.853,951.551
478,MRT,Mauritania,Sub-Saharan Africa,2011,3005505.454,11692249.09
480,MUS,Mauritius,Sub-Saharan Africa,2011,737231.3453,941897.6225
