Exporter M.49,Exporter ISO3,Exporter,Exporter region,Year,Value (1000USD),Weight (1000kg)
4,AFG,Afghanistan,Central and Southern Asia,2010,425475.294,565637.3813
8,ALB,Albania,Europe,2010,754205.1711,2738327.662
10,ATA,Antarctica,,2010,6042.232,11613.924
12,DZA,Algeria,Northern Africa and Western Asia,2010,60149826.97,145285680.6
16,ASM,American Samoa,Oceania (excl. Australia and New Zealand),2010,17357.866,20759.484
20,AND,Andorra,Europe,2010,61026.48392,307063.2774
24,AGO,Angola,Sub-Saharan Africa,2010,52924674.53,99668240.22
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,2010,292575.8212,249506.1601
31,AZE,Azerbaijan,Northern Africa and Western Asia,2010,25308521.35,44387759.71
32,ARG,Argentina,Latin America and the Caribbean,2010,47262160.77,91341902.63
36,AUS,Australia,Australia and New Zealand,2010,194081987.2,911479260.9
40,AUT,Austria,Europe,2010,27822876.02,36749150.78
44,BHS,Bahamas,Latin America and the Caribbean,2010,2001766.497,6181709.67
48,BHR,Bahrain,Northern Africa and Western Asia,2010,19371712.26,32387729.51
50,BGD,Bangladesh,Central and Southern Asia,2010,2434181.282,2872093.435
51,ARM,Armenia,Northern Africa and Western Asia,2010,761984.1157,395952.2277
52,BRB,Barbados,Latin America and the Caribbean,2010,265312.5261,620707.9013
56,BEL,Belgium,Europe,2010,110727993.8,148050578.7
60,BMU,Bermuda,Northern America,2010,56472.574,107576.549
64,BTN,Bhutan,Central and Southern Asia,2010,270888.7983,2116209.564
68,BOL,Bolivia,Latin America and the Caribbean,2010,6220589.977,12529051.33
70,BIH,Bosnia Herzegovina,Europe,2010,1911875.362,5389099.454
72,BWA,Botswana,Sub-Saharan Africa,2010,3538964.391,1146327.533
74,BVT,Bouvet Island,,2010,1282.128,103.292
76,BRA,Brazil,Latin America and the Caribbean,2010,144116466.1,485623904.7
84,BLZ,Belize,Latin America and the Caribbean,2010,343190.0078,570793.4867
86,IOT,British Indian Ocean Territory,,2010,1098.476,3048.529
90,SLB,Solomon Islands,Oceania (excl. Australia and New Zealand),2010,379108.555,1595829.222
92,VGB,British Virgin Islands,Latin America and the Caribbean,2010,187911.359,152315.442
96,BRN,Brunei Darussalam,Eastern and South-Eastern Asia (excl. China),2010,8614432.822,18430043.76
100,BGR,Bulgaria,Europe,2010,9718632.159,15242081.79
104,MMR,Myanmar,Eastern and South-Eastern Asia (excl. China),2010,5730520.552,17170571.87
108,BDI,Burundi,Sub-Saharan Africa,2010,133827.9814,55101.57293
112,BLR,Belarus,Europe,2010,13759410.44,29204243.84
116,KHM,Cambodia,Eastern and South-Eastern Asia (excl. China),2010,603934.7629,1723578.123
120,CMR,Cameroon,Sub-Saharan Africa,2010,4296800.695,5864277.666
124,CAN,Canada,Northern America,2010,195400255.1,386519501.2
132,CPV,Cabo Verde,Sub-Saharan Africa,2010,171001.8736,255459.4661
136,CYM,Cayman Islands,Latin America and the Caribbean,2010,9623.221,73878.791
140,CAF,Central African Republic,Sub-Saharan Africa,2010,143892.5138,163000.4798
144,LKA,Sri Lanka,Central and Southern Asia,2010,2858958.472,1869418.734
148,TCD,Chad,Sub-Saharan Africa,2010,2805784.951,5148064.401
152,CHL,Chile,Latin America and the Caribbean,2010,63029482.82,43866820.15
156,CHN,China,China,2010,135263258.3,969575520.8
162,CXR,Christmas Islands,,2010,15036.405,112108.678
166,CCK,Cocos Islands,,2010,3726.15,4175.579
170,COL,Colombia,Latin America and the Caribbean,2010,34352650.79,126373730.5
174,COM,Comoros,Sub-Saharan Africa,2010,15327.41536,7057.866894
175,MYT,Mayotte,Sub-Saharan Africa,2010,5300.357,3021.745
178,COG,"Congo, Republic",Sub-Saharan Africa,2010,8240286.277,17895169.8
180,COD,"Congo, Democratic Republic",Sub-Saharan Africa,2010,5087709.091,2696583.177
184,COK,Cook Islands,Oceania (excl. Australia and New Zealand),2010,20106.348,5004.347
188,CRI,Costa Rica,Latin America and the Caribbean,2010,4271203.322,6557491.153
191,HRV,Croatia,Europe,2010,3665416.756,12311939.13
192,CUB,Cuba,Latin America and the Caribbean,2010,1355822.754,1414187.558
196,CYP,Cyprus,Northern Africa and Western Asia,2010,1693183.371,3319547.144
203,CZE,Czech Republic,Europe,2010,15800649.77,40039395.8
204,BEN,Benin,Sub-Saharan Africa,2010,1139983.866,1853888.053
208,DNK,Denmark,Europe,2010,25571143.65,29862169.29
212,DMA,Dominica,Latin America and the Caribbean,2010,22369.06529,290714.6926
214,DOM,Dominican Republic,Latin America and the Caribbean,2010,2027082.08,3873799.594
218,ECU,Ecuador,Latin America and the Caribbean,2010,16777541.63,27041028.95
222,SLV,El Salvador,Latin America and the Caribbean,2010,1010397.287,1159185.958
226,GNQ,Equatorial Guinea,Sub-Saharan Africa,2010,9011955.042,15709392.26
231,ETH,Ethiopia,Sub-Saharan Africa,2010,1455544.697,857385.5213
232,ERI,Eritrea,Sub-Saharan Africa,2010,8331.572,5314.473
233,EST,Estonia,Europe,2010,4636885.356,11783668.22
234,FRO,Faeroe Islands,Europe,2010,746459.584,280692.135
238,FLK,Falkland Islands (Malvinas),Latin America and the Caribbean,2010,174389.543,73356.372
239,SGS,South Georgia and the South Sandwich Islands,,2010,715.867,533.665
242,FJI,Fiji,Oceania (excl. Australia and New Zealand),2010,695025.6357,997883.5999
246,FIN,Finland,Europe,2010,21577725.68,26179642.74
251,FRA,France,Europe,2010,90651140.57,141492245.8
258,PYF,French Polynesia,Oceania (excl. Australia and New Zealand),2010,181724.8906,20176.81904
260,ATF,French Southern Territories,,2010,2542.484,520.815
262,DJI,Djibouti,Sub-Saharan Africa,2010,78737.841,23634.755
266,GAB,Gabon,Sub-Saharan Africa,2010,6930267.11,12511103.34
268,GEO,Georgia,Northern Africa and Western Asia,2010,1843270.936,5832636.22
270,GMB,Gambia,Sub-Saharan Africa,2010,74258.15267,179799.0752
275,PSE,State of Palestine,Northern Africa and Western Asia,2010,273164.1283,357709.6237
276,DEU,Germany,Europe,2010,156399068.9,223089896.9
